,code,class,name,market_cap,reg_day,per
0,A124500,kosdaq,아이티센,1280,20141223,20.61
1,A348030,kosdaq,모비릭스,2303,20210128,-
2,A139050,kosdaq,시티랩스,806,20110729,-
3,A020180,kosdaq,대신정보통신,857,19951006,32.32
4,A163730,kosdaq,핑거,1908,20210129,47.58
5,A950110,kosdaq,SBI핀테크솔루션즈,2621,20121217,21.08
6,A064480,kosdaq,브리지텍,587,20080604,68.19
7,A041460,kosdaq,한국전자인증,1678,20101119,63.58
8,A007120,kospi,미래아이앤지,724,19991126,3.68
9,A053300,kosdaq,한국정보인증,2225,20140204,22.81
10,A173130,kosdaq,오파스넷,553,20180824,9.20
11,A023590,kospi,다우기술,12518,19970827,4.54
12,A070590,kosdaq,한솔인티큐브,497,20040108,29.11
13,A066410,kosdaq,버킷스튜디오,828,20031219,-
14,A032685,kosdaq,소프트센우,38,19970718,-
15,A032680,kosdaq,소프트센,676,19970718,-
16,A064850,kosdaq,에프앤가이드,1438,20201217,28.13
17,A115310,kosdaq,인포바인,680,20100209,10.28
18,A039420,kosdaq,케이엘넷,874,20020312,19.78
19,A030790,kospi,비케이탑스,1569,20101102,-
20,A213090,kosdaq,미래테크놀로지,531,20151201,20.21
21,A072130,kospi,유엔젤,558,20030701,-
22,A094480,kosdaq,갤럭시아머니트리,3217,20070720,82.83
23,A234300,kosdaq,에스트래픽,1799,20171205,-
24,A045510,kosdaq,정원엔시스,612,20000907,82.61
25,A046440,kosdaq,KG모빌리언스,4018,20041214,17.19
26,A234340,kosdaq,세틀뱅크,3010,20190712,26.00
27,A115500,kosdaq,케이씨에스,1064,20100414,51.57
28,A046110,kosdaq,한일네트웍스,724,20060120,9.53
29,A356890,kosdaq,싸이버원,805,20210311,35.26
30,A045390,kosdaq,대아티아이,3743,20010517,53.13
31,A079940,kosdaq,가비아,2071,20051019,17.09
32,A012030,kospi,DB,1770,19930106,28.39
33,A054220,kosdaq,비츠로시스,1278,20011226,5.88
34,A022100,kosdaq,포스코 ICT,11281,20001128,130.18
35,A066980,kosdaq,이엔코퍼레이션,2003,20030117,-
36,A038160,kosdaq,팍스넷,106,20160801,-
37,A304100,kosdaq,솔트룩스,1580,20200723,268.10
38,A267850,kospi,아시아나IDT,2337,20181123,-
39,A286940,kospi,롯데정보통신,5951,20180727,19.92
40,A063570,kosdaq,한국전자금융,2295,20060714,66.53
41,A242040,kosdaq,나무기술,928,20160907,-
42,A067010,kosdaq,이씨에스,883,20071218,18.46
43,A052600,kosdaq,한네트,1312,20010710,105.09
44,A035600,kosdaq,KG이니시스,5497,20021122,12.95
45,A214180,kosdaq,민앤지,2238,20150630,11.81
46,A065440,kosdaq,이루온,464,20030128,21.79
47,A042000,kosdaq,카페24,6281,20180208,93.94
48,A065370,kosdaq,위세아이텍,858,20200210,24.58
49,A049480,kosdaq,오픈베이스,940,20010109,38.33
50,A263800,kosdaq,데이타솔루션,930,20170803,182.81
51,A322180,kosdaq,티라유텍,905,20191031,-
52,A169330,kosdaq,엠브레인,796,20200701,17.39
53,A040350,kosdaq,큐로컴,1565,20020110,-
54,A093320,kosdaq,케이아이엔엑스,3562,20110208,23.89
55,A118000,kospi,우리들휴브레인,1101,20091230,8.60
56,A018260,kospi,삼성에스디에스,147792,20141114,33.33
57,A035510,kospi,신세계 I&C,2709,20060518,3.89
58,A031820,kospi,콤텍시스템,1052,19970212,-
59,A189330,kosdaq,씨이랩,1359,20210224,147.57
60,A042500,kosdaq,링네트,995,20020110,13.01
61,A069410,kosdaq,엔텔스,830,20070620,11.27
62,A060250,kosdaq,NHN한국사이버결제,11853,20020108,42.12
63,A321820,kosdaq,와이더플래닛,1764,20210203,-
64,A064260,kosdaq,다날,5902,20040723,33.57
65,A067730,kosdaq,로지시스,1054,20150729,218.00
66,A039290,kosdaq,인포뱅크,1078,20060704,72.94
67,A307950,kospi,현대오토에버,25095,20190328,42.54
68,A010280,kosdaq,쌍용정보통신,587,20000414,-
69,A050960,kosdaq,수산아이앤티,2511,20161011,89.00
70,A072770,kosdaq,율호,906,20070725,82.33
