,code,class,name,market_cap,reg_day,per
0,A117580,kospi,대성에너지,1502,20101224,10.62
1,A015350,kospi,부산가스,6292,19970623,3.51
2,A017940,kospi,E1,3032,19970827,5.03
3,A016710,kospi,대성홀딩스,4859,19991222,11.40
4,A018670,kospi,SK가스,9692,19970827,3.65
5,A015360,kospi,예스코홀딩스,2013,19961224,-
6,A034590,kospi,인천도시가스,1148,20061107,10.08
7,A053050,kosdaq,지에스이,516,20011011,11.86
8,A004690,kospi,삼천리,3167,19761223,9.91
9,A036460,kospi,한국가스공사,30602,19991215,-
10,A003480,kospi,한진중공업홀딩스,1240,19560303,-
11,A017390,kospi,서울가스,4500,19950818,3.43
12,A267290,kospi,경동도시가스,1161,20170512,6.12
