,code,class,name,market_cap,reg_day,per
0,A065350,kosdaq,신성델타테크,2845,20040806,30.09
1,A256150,kosdaq,한독크린텍,1469,20190905,17.66
2,A067170,kosdaq,오텍,2070,20031114,49.81
3,A021240,kospi,코웨이,48634,20010807,12.01
4,A002700,kospi,신일전자,1567,19750930,19.51
5,A009450,kospi,경동나비엔,6843,19930831,15.56
6,A014470,kosdaq,부방,2324,19940225,-
7,A284740,kospi,쿠쿠홈시스,9356,20180111,12.56
8,A044340,kosdaq,위닉스,4057,20001024,9.57
9,A071460,kosdaq,위니아딤채,1372,20160714,11.09
10,A056080,kosdaq,유진로봇,1639,20011113,-
11,A192400,kospi,쿠쿠홀딩스,8962,20140806,8.40
12,A024940,kosdaq,PN풍년,609,19950104,26.36
13,A037070,kosdaq,파세코,3234,20000104,22.83
14,A234920,kosdaq,자이글,533,20160906,61.56
15,A066130,kosdaq,하츠,1446,20030211,24.15
16,A317870,kosdaq,엔바이오니아,766,20191024,-
