,code,class,name,market_cap,reg_day,per
0,A340570,kosdaq,티앤엘,2642,20201120,-
1,A08537M,kosdaq,루트로닉3우C,87,20060704,-
2,A058110,kosdaq,멕아이씨에스,2319,20151214,7.79
3,A229000,kosdaq,젠큐릭스,1258,20200625,3.47
4,A253840,kosdaq,수젠텍,2631,20190528,-
5,A164060,kosdaq,이루다,935,20200806,16.93
6,A305090,kosdaq,마이크로디지탈,1351,20190605,-
7,A059210,kosdaq,메타바이오메드,606,20080415,-
8,A219750,kosdaq,지티지웰니스,973,20180921,-
9,A085370,kosdaq,루트로닉,2715,20060704,-
10,A057880,kosdaq,필로시스헬스케어,1637,20031229,15.29
11,A246720,kosdaq,아스타,618,20170320,-
12,A004080,kospi,신흥,1171,19910208,9.42
13,A228760,kosdaq,지노믹트리,2618,20190327,-
14,A335890,kosdaq,비올,1196,20191203,-
15,A214150,kosdaq,클래시스,9416,20150403,24.66
16,A156100,kosdaq,엘앤케이바이오,4513,20161130,-
17,A048870,kosdaq,시너지이노베이션,2227,20040813,-
18,A048260,kosdaq,오스템임플란트,12729,20070207,11.89
19,A307280,kosdaq,원바이오젠,806,20181205,-
20,A138610,kosdaq,나이벡,3600,20110713,-
21,A145720,kospi,덴티움,7538,20170315,33.43
22,A216080,kosdaq,제테마,3592,20191114,-
23,A006140,kosdaq,피제이전자,1299,19931207,26.16
24,A065510,kosdaq,휴비츠,1015,20031031,-
25,A290660,kosdaq,네오펙트,544,20181128,-
26,A122310,kosdaq,제노레이,1492,20180528,14.66
27,A042520,kosdaq,한스바이오메드,1222,20091009,-
28,A263690,kosdaq,디알젬,1484,20181122,7.42
29,A041830,kosdaq,인바디,2826,20001214,16.13
30,A043100,kosdaq,솔고바이오,226,20000808,13.52
31,A214610,kosdaq,미코바이오메드,1835,20201022,-
32,A225220,kosdaq,제놀루션,1457,20200724,4.06
33,A228670,kosdaq,레이,3526,20190808,44.61
34,A104540,kosdaq,코렌텍,2145,20130305,132.73
35,A043150,kosdaq,바텍,4419,20060929,-
36,A039840,kosdaq,디오,6000,20000629,53.83
37,A302550,kosdaq,리메드,1391,20191206,-
38,A226400,kosdaq,오스테오닉,632,20180222,-
39,A056090,kosdaq,유앤아이,411,20151112,-
40,A099190,kosdaq,아이센스,3366,20130130,12.54
41,A149980,kosdaq,하이로닉,849,20141217,26.76
42,A179290,kosdaq,엠아이텍,1380,20181129,20.39
43,A100120,kosdaq,뷰웍스,3531,20090410,15.42
44,A228850,kosdaq,레이언스,2115,20160411,-
45,A246960,kosdaq,이노테라피,789,20190201,-
46,A119610,kosdaq,인터로조,2721,20100728,24.25
47,A142280,kosdaq,녹십자엠에스,2101,20141217,31.29
48,A214680,kosdaq,디알텍,813,20150420,-
49,A054950,kosdaq,제이브이엠,1184,20060607,21.64
50,A256840,kosdaq,한국비엔씨,3798,20161228,263.21
51,A304840,kosdaq,피플바이오,2338,20201019,-
52,A261200,kosdaq,덴티스,1487,20170626,-
53,A258830,kosdaq,세종메디칼,725,20180529,155.07
54,A100700,kosdaq,세운메디칼,2032,20080930,19.33
55,A150840,kosdaq,인트로메딕,743,20131219,-
56,A294090,kosdaq,이오플로우,6952,20200914,-
57,A314930,kosdaq,바이오다인,3291,20210317,-
58,A049180,kosdaq,셀루메드,2381,20020523,"2,010.00"
59,A290650,kosdaq,엘앤씨바이오,7198,20181101,66.87
60,A041920,kosdaq,메디아나,1272,20141007,11.31
61,A108860,kosdaq,셀바스AI,726,20091210,17.78
62,A032940,kosdaq,원익,997,19970718,1.25
63,A208370,kosdaq,셀바스헬스케어,609,20141217,80.29
