,code,class,name,market_cap,reg_day,per
0,A002290,kosdaq,삼일기업공사,765,19921130,31.64
1,A023960,kospi,에쓰씨엔지니어링,1373,19970623,-
2,A011370,kosdaq,서한,1745,19940524,9.61
3,A003075,kospi,코오롱글로벌우,86,19780915,8.49
4,A001260,kospi,남광토건,1445,19761228,10.50
5,A001470,kospi,삼부토건,4037,19760626,-
6,A001840,kosdaq,이화공영,1452,19941123,488.67
7,A026150,kosdaq,특수건설,1461,19970806,60.32
8,A091590,kosdaq,남화토건,1244,20120131,19.20
9,A035890,kosdaq,서희건설,3861,19991224,2.81
10,A060370,kosdaq,KT서브마린,1380,20020215,114.55
11,A023350,kospi,한국종합기술,834,20110428,12.89
12,A002995,kospi,금호산업우,93,19760626,44.16
13,A101670,kosdaq,코리아에스이,243,20080715,-
14,A021320,kosdaq,KCC건설,1952,20010821,5.18
15,A016250,kosdaq,SGC이테크건설,868,19991228,1.05
16,A375500,kospi,DL이앤씨,23618,20210125,-
17,A013700,kospi,까뮤이앤씨,1140,19891130,12.38
18,A014790,kospi,한라,2014,19940812,2.31
19,A013580,kospi,계룡건설,2840,19960130,3.02
20,A039570,kospi,HDC아이콘트롤스,1679,20150924,10.71
21,A047040,kospi,대우건설,26974,20010323,9.50
22,A009415,kospi,태영건설우,158,19891113,1.44
23,A037440,kosdaq,희림,681,20000203,13.85
24,A007680,kosdaq,대원,1183,20171201,-
25,A010960,kospi,삼호개발,1305,20050512,7.02
26,A000725,kospi,현대건설우,170,19841222,156.65
27,A046940,kosdaq,우원개발,1267,20020618,7.52
28,A028100,kospi,동아지질,2064,20090612,100.84
29,A37550K,kospi,DL이앤씨우,1552,20210125,-
30,A000210,kospi,DL,13125,19760202,6.50
31,A005965,kospi,동부건설우,54,19781030,12.06
32,A001880,kospi,대림건설,7807,19771222,4.57
33,A010400,kospi,우진아이엔에스,625,20180914,35.50
34,A012630,kospi,HDC,7050,19961016,6.81
35,A005960,kospi,동부건설,2963,19781030,6.61
36,A010780,kospi,아이에스동서,17423,19860127,14.02
37,A094820,kosdaq,일진파워,902,20071106,8.46
38,A006360,kospi,GS건설,36163,19810803,10.87
39,A000215,kospi,DL우,720,19760202,3.26
40,A036190,kosdaq,금화피에스시,1794,20001226,5.99
41,A000720,kospi,현대건설,49887,19841222,40.80
42,A36328K,kospi,티와이홀딩스우,279,20200922,0.84
43,A004960,kospi,한신공영,2314,19760707,2.19
44,A011560,kosdaq,세보엠이씨,734,19961223,10.59
45,A028050,kospi,삼성엔지니어링,27244,19961224,11.13
46,A044180,kosdaq,KD,205,20001116,-
47,A002460,kospi,화성산업,1531,19880929,4.61
48,A076080,kosdaq,웰크론한텍,741,20080718,123.67
49,A065950,kosdaq,웰크론,1386,20030729,12.46
50,A097230,kospi,한진중공업,6112,20070831,7.81
51,A009410,kospi,태영건설,4629,19891113,1.41
52,A317400,kospi,자이에스앤디,2906,20191106,14.97
53,A294870,kospi,HDC현대산업개발,19245,20180612,8.12
54,A013360,kospi,일성건설,791,19891202,27.64
55,A003070,kospi,코오롱글로벌,5357,19780915,6.56
56,A042940,kosdaq,상지카일룸,801,20001019,-
57,A034300,kospi,신세계건설,1850,20020617,15.12
58,A002410,kospi,범양건영,966,19880525,8.80
59,A002990,kospi,금호산업,3484,19760626,13.23
60,A002150,kospi,도화엔지니어링,2917,20100812,16.35
61,A363280,kospi,티와이홀딩스,10123,20200922,0.95
62,A054930,kosdaq,유신,585,20020115,19.33
63,A053690,kospi,한미글로벌,1189,20090623,12.78
64,A002780,kospi,진흥기업,4684,19770625,23.17
65,A017000,kosdaq,신원종합개발,956,19941207,-
66,A013120,kosdaq,동원개발,4931,19941229,3.42
67,A025950,kosdaq,동신건설,3646,19950807,-
68,A002787,kospi,진흥기업2우B,37,19770625,89.93
69,A066620,kosdaq,국보디자인,1579,20020905,8.58
70,A045100,kosdaq,한양이엔지,3285,20000831,6.82
71,A002785,kospi,진흥기업우B,57,19770625,47.77
