,code,class,name,market_cap,reg_day,per
0,A090355,kospi,노루페인트우,83,20060703,20.48
1,A000325,kospi,노루홀딩스우,39,19730810,20.04
2,A090350,kospi,노루페인트,2650,20060703,15.07
3,A004440,kospi,삼일씨엔에스,2196,20160330,-
4,A000320,kospi,노루홀딩스,1934,19730810,14.02
5,A002380,kospi,KCC,22216,19730625,3.73
6,A006920,kosdaq,모헨즈,634,19890105,"1,162.00"
7,A344820,kospi,케이씨씨글라스,8145,20200121,3.45
8,A004985,kospi,성신양회우,113,19760630,37.87
9,A000390,kospi,삼화페인트,3651,19930910,54.44
10,A001527,kospi,동양2우B,38,19760625,-
11,A001529,kospi,동양3우B,22,19760625,-
12,A228340,kosdaq,동양파일,1416,20160406,-
13,A000860,kospi,강남제비스코,1947,19751112,8.36
14,A011390,kospi,부산산업,1362,19900914,55.29
15,A004910,kospi,조광페인트,938,19761227,21.00
16,A001520,kospi,동양,3473,19760625,-
17,A171120,kosdaq,라이온켐텍,1547,20131119,20.07
18,A038500,kosdaq,삼표시멘트,6076,20010201,44.22
19,A023410,kosdaq,유진기업,4314,19941007,8.72
20,A007210,kospi,벽산,1988,19720104,-
21,A008250,kospi,이건산업,1046,19881021,62.01
22,A198440,kosdaq,고려시멘트,1210,20140813,27.23
23,A108675,kospi,LG하우시스우,387,20090420,-
24,A001525,kospi,동양우,41,19760625,-
25,A000910,kospi,유니온,1327,19960703,9.15
26,A255220,kosdaq,SG,733,20180126,-
27,A025900,kosdaq,동화기업,10404,19950807,44.32
28,A007110,kospi,일신석재,1464,19860304,236.25
29,A079650,kosdaq,서산,550,20050121,-
30,A004980,kospi,성신양회,2635,19760630,26.61
31,A108670,kospi,LG하우시스,7407,20090420,-
32,A003410,kospi,쌍용양회,37789,19750503,27.37
33,A300720,kospi,한일시멘트,10701,20180806,8.61
34,A225530,kosdaq,보광산업,2475,20151217,28.73
35,A183190,kospi,아세아시멘트,4266,20131106,17.97
36,A226360,kosdaq,이엑스티,1176,20151022,-
37,A060560,kosdaq,홈센타홀딩스,1360,20020711,30.43
38,A025750,kospi,한솔홈데코,1644,20031104,291.43
39,A003300,kospi,한일홀딩스,3631,19691120,7.63
40,A006390,kospi,한일현대시멘트,7149,19751226,11.39
41,A109610,kosdaq,에스와이,1671,20151229,-
42,A003580,kospi,넥스트사이언스,2920,19900323,-
43,A051980,kosdaq,센트럴바이오,1359,20010731,-
