,code,class,name,market_cap,reg_day,per
0,A005750,kospi,대림B&Co,1169,19921223,-
1,A192390,kosdaq,윈하이텍,382,20140725,45.32
2,A014285,kospi,금강공업우,72,19880910,-
3,A079000,kosdaq,와토스코리아,590,20051115,40.59
4,A022220,kosdaq,정산애강,1142,20060411,45.94
5,A060260,kosdaq,뉴보텍,491,20020205,-
6,A035200,kosdaq,프럼파스트,496,20020115,33.12
7,A018310,kosdaq,삼목에스폼,1970,19960503,279.17
8,A006570,kospi,대림통상,629,19751120,-
9,A039020,kosdaq,이건홀딩스,839,20000504,-
10,A058730,kospi,다스코,790,20040802,-
11,A052300,kosdaq,W홀딩컴퍼니,967,20010802,4.95
12,A090410,kosdaq,덕신하우징,668,20140801,-
13,A006050,kosdaq,국영지앤엠,995,19941007,-
14,A014280,kospi,금강공업,1657,19880910,-
15,A038010,kosdaq,제일테크노스,918,20000111,-
