,code,class,name,market_cap,reg_day,per
0,A042420,kosdaq,네오위즈홀딩스,4101,20000627,7.93
1,A208640,kosdaq,썸에이지,4877,20141229,-
2,A078340,kosdaq,컴투스,22362,20070706,27.83
3,A101730,kosdaq,조이맥스,995,20090603,-
4,A206400,kosdaq,베노홀딩스,1437,20141210,-
5,A299910,kosdaq,베스파,2187,20181203,-
6,A263750,kosdaq,펄어비스,43598,20170914,42.68
7,A112040,kosdaq,위메이드,9895,20091218,-
8,A063080,kosdaq,게임빌,3212,20090730,15.88
9,A095660,kosdaq,네오위즈,5354,20070702,8.85
10,A194480,kosdaq,데브시스터즈,11481,20141006,-
11,A215000,kosdaq,골프존,5861,20150403,15.32
12,A293490,kosdaq,카카오게임즈,39496,20200910,38.43
13,A058630,kosdaq,엠게임,1794,20081219,26.38
14,A030350,kosdaq,드래곤플라이,381,19971110,-
15,A047080,kosdaq,한빛소프트,1673,20020110,-
16,A181710,kospi,NHN,14106,20130829,65.78
17,A041140,kosdaq,넥슨지티,4722,20000725,119.20
18,A225570,kosdaq,넷게임즈,4068,20150925,15.58
19,A950180,kosdaq,SNK,5897,20190507,56.11
20,A205500,kosdaq,액션스퀘어,994,20141112,-
21,A052770,kosdaq,아이톡시,345,20020822,-
22,A056000,kosdaq,COWON,564,20030711,143.00
23,A060240,kosdaq,룽투코리아,1734,20020104,60.35
24,A950190,kosdaq,미투젠,3336,20200818,7.59
25,A217270,kosdaq,넵튠,8413,20150618,13.44
26,A052790,kosdaq,액토즈소프트,1042,20010814,6.69
27,A123420,kosdaq,선데이토즈,2115,20101110,14.44
28,A023770,kosdaq,플레이위드,867,19941107,6.42
29,A201490,kosdaq,미투온,2110,20161010,20.27
30,A251270,kospi,넷마블,111293,20170512,35.51
31,A067000,kosdaq,조이시티,4284,20080530,34.42
32,A036570,kospi,엔씨소프트,191000,20030522,32.52
33,A192080,kospi,더블유게임즈,12329,20190312,10.95
34,A069080,kosdaq,웹젠,13453,20030523,15.61
