,code,class,name,market_cap,reg_day,per
0,A236810,kosdaq,엔비티,2088,20210121,75.23
1,A089600,kosdaq,나스미디어,3414,20130717,16.37
2,A030000,kospi,제일기획,24331,19980303,15.46
3,A010470,kosdaq,오리콤,685,20001024,88.92
4,A273060,kosdaq,와이즈버즈,877,20170807,-
5,A035000,kospi,지투알,986,19990811,10.90
6,A123570,kosdaq,이엠넷,1172,20111125,16.59
7,A230360,kosdaq,에코마케팅,8508,20160808,15.96
8,A214320,kospi,이노션,12260,20150717,19.31
9,A216050,kosdaq,인크로스,4673,20161031,37.96
10,A237820,kosdaq,플레이디,1437,20200312,91.80
11,A048550,kosdaq,SM C&C,1731,20010118,-
