,code,class,name,market_cap,reg_day,per
0,A053290,kosdaq,NE능률,3454,20021210,342.62
1,A072870,kosdaq,메가스터디,1508,20041221,7.12
2,A215200,kosdaq,메가스터디교육,7190,20150504,33.43
3,A225330,kosdaq,씨엠에스에듀,1295,20160407,20.87
4,A100220,kospi,비상교육,927,20080630,-
5,A096240,kosdaq,청담러닝,2018,20080627,30.61
6,A067280,kosdaq,멀티캠퍼스,2009,20061116,20.17
7,A019680,kospi,대교,3807,20040203,-
8,A108490,kosdaq,로보티즈,2048,20181026,-
9,A215100,kosdaq,로보로보,986,20150422,-
10,A019685,kospi,대교우B,538,20040203,-
11,A339950,kosdaq,아이비김영,710,20191224,-
12,A035290,kosdaq,더블유에프엠,473,19991207,-
13,A038340,kosdaq,UCI,166,20011122,-
14,A040420,kosdaq,정상제이엘에스,1016,20000801,15.14
15,A068930,kosdaq,디지털대성,2373,20031017,20.89
16,A289010,kosdaq,아이스크림에듀,1033,20190711,138.45
17,A057030,kosdaq,YBM넷,1223,20040608,-
18,A095720,kospi,웅진씽크빅,4840,20070531,523.75
19,A134060,kosdaq,이퓨쳐,459,20110427,85.22
20,A133750,kosdaq,메가엠디,963,20151218,19.50
