,code,class,name,market_cap,reg_day,per
0,A000490,kospi,대동공업,2563,19750627,12.54
1,A277810,kosdaq,레인보우로보틱스,4269,20210203,-
2,A009440,kospi,KC그린홀딩스,1080,19941105,-
3,A008830,kosdaq,대동기어,364,19910517,15.58
4,A002900,kospi,동양물산,2354,19730626,61.43
5,A039610,kosdaq,화성밸브,973,20000316,78.57
6,A090360,kosdaq,로보스타,2944,20111017,-
7,A003010,kospi,혜인,1017,19880920,19.37
8,A036890,kosdaq,진성티이씨,3485,20000720,23.00
9,A109860,kosdaq,동일금속,906,20090728,13.65
10,A051490,kosdaq,나라엠앤디,1512,20010612,104.41
11,A064510,kosdaq,에코마이스터,382,20180315,-
12,A092440,kospi,기신정기,1737,20071030,19.97
13,A254120,kosdaq,자비스,444,20161202,-
14,A007460,kospi,에이프로젠 KIC,3846,19950708,-
15,A019990,kosdaq,에너토크,829,20060201,184.78
16,A112610,kospi,씨에스윈드,31080,20141127,87.22
17,A049430,kosdaq,코메론,968,20010116,8.00
18,A004380,kospi,삼익THK,2877,19890926,64.62
19,A089140,kosdaq,넥스턴,2352,20061101,-
20,A083650,kosdaq,비에이치아이,1074,20051202,23.74
21,A017550,kospi,수산중공업,3504,19910830,86.53
22,A138070,kosdaq,신진에스엠,655,20111128,-
23,A017800,kospi,현대엘리베이,18632,19960703,19.28
24,A008470,kosdaq,부스타,560,20110223,10.26
25,A015230,kospi,대창단조,1106,19890725,8.32
26,A100840,kospi,SNT에너지,1321,20080222,13.50
27,A210540,kospi,디와이파워,2131,20150115,8.39
28,A015590,kospi,큐로,1529,19890527,112.17
29,A000850,kospi,화천기공,771,19991118,17.07
30,A104460,kosdaq,디와이피엔에프,3107,20091222,11.97
31,A073640,kosdaq,테라사이언스,1578,20040106,-
32,A019210,kosdaq,와이지-원,2385,19970806,-
33,A060310,kosdaq,3S,1165,20020423,-
34,A014200,kosdaq,광림,947,19930707,-
35,A099440,kosdaq,스맥,549,20090526,-
36,A277880,kosdaq,티에스아이,1928,20200722,-
37,A084180,kosdaq,수성,438,20051216,-
38,A043340,kosdaq,에쎈테크,900,20000829,-
39,A048770,kosdaq,TPC,619,20010116,14.57
40,A064350,kospi,현대로템,21938,20131030,61.85
41,A013810,kosdaq,스페코,1345,19971103,14.78
42,A033430,kosdaq,디에스티,248,19980525,-
43,A044490,kosdaq,태웅,2501,20011108,-
44,A085310,kospi,엔케이,1060,20080124,-
45,A086670,kosdaq,비엠티,1059,20071102,26.42
46,A101680,kosdaq,한국정밀기계,121,20090519,-
47,A114190,kosdaq,강원,454,20091120,-
48,A119500,kosdaq,포메탈,575,20100917,32.55
49,A126870,kosdaq,뉴로스,795,20120215,-
50,A141070,kosdaq,맥스로텍,267,20121116,-
51,A158310,kosdaq,스타모빌리티,61,20130403,-
52,A148140,kosdaq,비디아이,1445,20171109,-
53,A317850,kosdaq,대모,431,20190724,129.50
54,A119650,kospi,KC코트렐,1157,20100129,-
55,A140670,kosdaq,알에스오토메이션,819,20170811,-
56,A036560,kosdaq,영풍정밀,1309,19991228,9.81
57,A049800,kospi,우진플라임,786,20060524,10.12
58,A013570,kospi,디와이,1545,19890530,-
59,A074610,kospi,이엔플러스,2005,20031223,-
60,A056190,kosdaq,에스에프에이,14776,20011218,13.65
61,A018000,kosdaq,유니슨,4987,19960110,-
62,A034020,kospi,두산중공업,48703,20001025,-
63,A297090,kosdaq,씨에스베어링,2970,20191121,51.58
64,A100660,kosdaq,서암기계공업,767,20111219,148.54
65,A101170,kosdaq,우림기계,589,20090428,-
66,A096350,kosdaq,대창솔루션,776,20071217,-
67,A317830,kosdaq,에스피시스템스,603,20190814,205.56
68,A050860,kosdaq,아세아텍,622,20100126,61.29
69,A126880,kosdaq,제이엔케이히터,1699,20110131,77.05
70,A011700,kospi,한신기계,761,19870724,21.92
71,A105840,kospi,우진,1003,20100726,2.94
72,A007820,kosdaq,에스엠코어,1495,20111108,-
73,A014620,kosdaq,성광벤드,2328,20010111,-
74,A053080,kosdaq,원방테크,1915,20200924,13.27
75,A044060,kosdaq,조광ILI,1186,20010118,-
76,A054540,kosdaq,삼영엠텍,703,20011115,10.02
77,A024880,kosdaq,케이피에프,790,19941229,-
78,A105740,kosdaq,디케이락,1069,20101112,-
79,A010660,kospi,화천기계,566,19881212,-
80,A195990,kosdaq,에이비프로바이오,2002,20150413,-
81,A053160,kosdaq,프리엠스,1143,20011030,"1,002.63"
82,A241560,kospi,두산밥캣,40902,20161118,16.53
83,A041440,kosdaq,에버다임,1066,20031114,-
84,A023160,kosdaq,태광,2247,19940907,-
85,A282880,kosdaq,코윈테크,2188,20190805,87.92
86,A043220,kosdaq,에이치엘비파워,938,20010703,147.14
87,A267270,kospi,현대건설기계,9969,20170510,-
88,A009160,kospi,SIMPAC,2261,19890729,6.62
89,A013030,kosdaq,하이록코리아,2267,19891215,42.91
90,A010240,kosdaq,흥국,1109,20090512,9.43
91,A095190,kosdaq,이엠코리아,2065,20071029,-
92,A044780,kosdaq,에이치케이,378,20000907,30.91
93,A071670,kosdaq,에이테크솔루션,1600,20090417,56.94
94,A033540,kosdaq,파라텍,1512,19971226,17.28
95,A100130,kosdaq,동국S&C,3486,20090831,100.00
96,A090710,kosdaq,휴림로봇,1102,20061205,2.27
97,A042670,kospi,두산인프라코어,22683,20010202,14.78
98,A053590,kosdaq,한국테크놀로지,1868,20010823,-
99,A258610,kosdaq,이더블유케이,1103,20170822,-
