,code,class,name,market_cap,reg_day,per
0,A329050,,구스앤홈,9,20190712,-
1,A224020,,에스케이씨에스,35,20160725,-
2,A354230,,폭스소프트,136,20200625,-
3,A348840,,데이드림엔터,162,20200818,-
4,A086220,,네추럴FNP,243,20150709,-
5,A208890,,미래엔에듀파트너,88,20141218,-
6,A260970,,에스앤디,966,20161229,-
7,A238170,,엔에스엠,330,20191226,-
8,A163430,,디피코,186,20180516,-
9,A570046,kospi,TRUE 인버스 2X 천연가스 선물 ETN(H),1195,-,-
10,A236030,,씨알푸드,160,20171214,-
11,A500032,kospi,신한 인버스 2X 천연가스 선물 ETN(H),1571,-,-
12,A253610,,루트락,267,20201224,-
13,A279060,,이노벡스,326,20190412,-
14,A510007,kospi,대신 2X 니켈선물 ETN(H),730,-,-
15,A500054,kospi,신한 인버스 2X 천연가스 선물 ETN,551,-,-
16,A530069,kospi,삼성 인버스 2X 천연가스 선물 ETN B,1436,-,-
17,A178600,,대동고려삼,178,20131220,-
18,A530070,kospi,삼성 레버리지 나스닥 100 ETN(H),229,-,-
19,A510005,kospi,대신 2X 아연선물 ETN(H),152,-,-
20,A520007,kospi,미래에셋 인버스 에너지화학 Core5 ETN,87,-,-
21,A500027,kospi,신한 인버스 2X WTI원유 선물 ETN(H),204,-,-
22,A337840,,유엑스엔,793,20191128,-
23,A500005,kospi,신한 인버스 브렌트원유 선물 ETN(H),57,-,-
24,A500029,kospi,신한 레버리지 은 선물 ETN(H),1106,-,-
25,A580015,kospi,KB 레버리지 나스닥 100 ETN,117,-,-
26,A550041,kospi,QV 미국 IT TOP5 ETN(H),193,-,-
27,A570043,kospi,TRUE 레버리지 나스닥 100 ETN,1166,-,-
28,A530061,kospi,삼성 레버리지 은 선물 ETN(H),550,-,-
29,A329020,,오션스톤,59,20200507,-
30,A550043,kospi,QV 인버스 레버리지 WTI원유 선물 ETN(H),74,-,-
31,A157500,kospi,TIGER 증권,63,-,-
32,A500022,kospi,신한 인버스 천연가스 선물 ETN(H),347,-,-
33,A270210,,에스알바이오텍,56,20170615,-
34,A266360,kospi,KODEX 미디어&엔터테인먼트,676,-,-
35,A102970,kospi,KODEX 증권,670,-,-
36,A315270,kospi,TIGER 200커뮤니케이션서비스,136,-,-
37,A550016,kospi,QV 건설 TOP5 ETN,191,-,-
38,A066830,,제노텍,206,20160718,-
39,A157490,kospi,TIGER 소프트웨어,832,-,-
40,A149300,,아퓨어스,703,20190903,-
41,A500057,kospi,신한 인버스 2X Russell 2000 ETN,64,-,-
42,A322400,kospi,HANARO e커머스,396,-,-
43,A315480,kospi,KBSTAR 200커뮤니케이션서비스,96,-,-
44,A222160,,바이옵트로,219,20160310,-
45,A520011,kospi,미래에셋 인버스 원유선물혼합 ETN(H),92,-,-
46,A510015,kospi,대신 밀 선물 ETN(H),92,-,-
47,A140290,,청광건설,67,20131220,-
48,A211050,,인카금융서비스,458,20151116,-
49,A510003,kospi,대신 니켈선물 ETN(H),108,-,-
50,A258540,,스템랩,344,20161129,-
51,A122830,,원포유,148,20201023,-
52,A530036,kospi,삼성 인버스 2X WTI원유 선물 ETN,382,-,-
53,A590010,kospi,미래에셋 레버리지 S&P500 ETN(H),654,-,-
54,A225040,kospi,TIGER 미국S&P500레버리지(합성 H),972,-,-
55,A224810,,엄지하우스,168,20151021,-
56,A520004,kospi,미래에셋 전기전자 Core5 ETN,748,-,-
57,A236350,kospi,TIGER 인도니프티50레버리지(합성),191,-,-
58,A500003,kospi,신한 인버스 WTI원유 선물 ETN(H),131,-,-
59,A138530,kospi,TIGER LG그룹+펀더멘털,187,-,-
60,A304940,kospi,KODEX 미국나스닥100선물(H),397,-,-
61,A550009,kospi,QV 하드웨어 TOP5 ETN,667,-,-
62,A570022,kospi,TRUE 레버리지 S&P500 선물 ETN(H),1092,-,-
63,A271050,kospi,KODEX WTI원유선물인버스(H),60,-,-
64,A266170,,뿌리깊은나무들,104,20170609,-
65,A580011,kospi,KB FnGuide 언택트 ETN,137,-,-
66,A225130,kospi,KINDEX 골드선물 레버리지(합성 H),226,-,-
67,A044990,,에이치엔에스하이텍,939,20151210,-
68,A500017,kospi,신한 은 선물 ETN(H),278,-,-
69,A500040,kospi,신한 레버리지 구리 선물 ETN,193,-,-
70,A530015,kospi,삼성 미국 대형 성장주 ETN(H),406,-,-
71,A530063,kospi,삼성 레버리지 구리 선물 ETN(H),184,-,-
72,A140610,,엔솔바이오사이언스,1473,20180910,-
73,A217770,kospi,TIGER 원유선물인버스(H),40,-,-
74,A266390,kospi,KODEX 경기소비재,74,-,-
75,A530055,kospi,삼성 레버리지 금 선물 ETN(H),287,-,-
76,A314250,kospi,KODEX 미국FANG플러스(H),5197,-,-
77,A261260,kospi,KODEX 미국달러선물인버스2X,52,-,-
78,A365000,kospi,TIGER KRX인터넷K-뉴딜,457,-,-
79,A530002,kospi,삼성 인버스 China A50 선물 ETN(H),83,-,-
80,A261120,kospi,TIGER 미국달러선물인버스2X,129,-,-
81,A144600,kospi,KODEX 은선물(H),1290,-,-
82,A116100,,태양기계,43,20130701,-
83,A230480,kospi,KOSEF 미국달러선물인버스2X,185,-,-
84,A278420,kospi,ARIRANG ESG우수기업,43,-,-
85,A371130,kospi,KINDEX 블룸버그베트남VN30선물레버리지(H),149,-,-
86,A217910,,에스제이켐,41,20180427,-
87,A205720,kospi,KINDEX 일본TOPIX인버스(합성 H),92,-,-
88,A570051,kospi,TRUE 나스닥 100 ETN,577,-,-
89,A067370,,선바이오,3261,20160122,-
90,A500050,kospi,신한 레버리지 S&P500 선물 ETN,318,-,-
91,A510014,kospi,대신 알루미늄 선물 ETN(H),100,-,-
