,code,class,name,market_cap,reg_day,per
0,A110990,kosdaq,디아이티,1928,20180807,130.77
1,A256630,kosdaq,포인트엔지니어링,2083,20170502,23.61
2,A042600,kosdaq,새로닉스,1565,20021001,-
3,A092190,kosdaq,서울바이오시스,6154,20200306,55.90
4,A094970,kosdaq,제이엠티,635,20071012,11.96
5,A059100,kosdaq,아이컴포넌트,428,20081216,106.14
6,A050090,kosdaq,휘닉스소재,1148,20040629,-
7,A226440,kosdaq,한송네오텍,909,20151006,-
8,A250930,kosdaq,예선테크,858,20160929,50.98
9,A027580,kosdaq,상보,843,20071001,26.09
10,A143540,kosdaq,영우디에스피,975,20141029,10.25
11,A251630,kosdaq,브이원텍,1641,20170713,29.78
12,A033050,kosdaq,제이엠아이,448,19970818,-
13,A046890,kosdaq,서울반도체,11136,20020117,62.62
14,A096870,kosdaq,엘디티,316,20080502,23.44
15,A036090,kosdaq,위지트,2012,19991210,22.53
16,A052420,kosdaq,오성첨단소재,2871,20010807,26.11
17,A138690,kosdaq,엘아이에스,856,20110602,34.10
18,A036170,kosdaq,클라우드에어,667,19991221,-
19,A036490,kosdaq,SK머티리얼즈,35841,19991214,27.68
20,A161580,kosdaq,필옵틱스,2565,20170601,52.07
21,A082800,kosdaq,비보존 헬스케어,2404,20051118,-
22,A038060,kosdaq,루멘스,743,20060808,-
23,A068790,kosdaq,DMS,2123,20041001,4.95
24,A078150,kosdaq,HB테크놀러지,2792,20041208,78.56
25,A069330,kosdaq,유아이디,125,20030818,-
26,A256940,kosdaq,케이피에스,2320,20170906,-
27,A160600,kosdaq,이큐셀,186,20150626,-
28,A900290,kosdaq,GRT,641,20161025,1.55
29,A141000,kosdaq,비아트론,1454,20120504,9.90
30,A137940,kosdaq,넥스트아이,1037,20110614,2.41
31,A127160,kosdaq,매직마이크로,228,20151119,-
32,A114570,kosdaq,지스마트글로벌,70,20100204,-
33,A011690,kospi,유양디앤유,3593,19951221,-
34,A001210,kospi,금호전기,316,19731115,-
35,A045890,kosdaq,GV,208,20051128,-
36,A039230,kosdaq,에이아이비트,200,20000622,-
37,A063760,kosdaq,이엘피,356,20170406,27.19
38,A054090,kosdaq,삼진엘앤디,950,20040206,-
39,A136510,kosdaq,쎄미시스코,349,20111118,-
40,A071280,kosdaq,로체시스템즈,962,20031114,11.48
41,A037400,kosdaq,우리조명,679,19991216,11.85
42,A067770,kosdaq,세진티에스,424,20040109,10.02
43,A054620,kosdaq,APS홀딩스,1946,20011204,-
44,A108320,kosdaq,실리콘웍스,13873,20100608,19.13
45,A056700,kosdaq,신화인터텍,1012,20011213,30.48
46,A347770,kosdaq,핌스,1179,20200918,20.36
47,A265520,kosdaq,AP시스템,4308,20170407,18.22
48,A238490,kosdaq,힘스,1544,20170720,8.97
49,A255440,kosdaq,야스,1756,20170929,15.04
50,A079950,kosdaq,인베니아,607,20050204,-
51,A041520,kosdaq,이라이콤,1463,20030704,17.65
52,A065130,kosdaq,탑엔지니어링,1494,20030129,-
53,A004710,kospi,한솔테크닉스,3420,19880706,13.05
54,A290520,kosdaq,신도기연,1354,20200706,-
55,A083930,kosdaq,아바코,1996,20051011,14.06
56,A037330,kosdaq,인지디스플레,1549,19991214,9.54
57,A088130,kosdaq,동아엘텍,984,20070103,10.39
58,A278280,kosdaq,천보,16800,20190211,61.45
59,A040910,kosdaq,아이씨디,3023,20110805,8.90
60,A307180,kosdaq,아이엘사이언스,687,20181221,-
61,A123860,kosdaq,아나패스,2824,20101105,-
62,A090470,kosdaq,제이스텍,1050,20070110,-
63,A170920,kosdaq,엘티씨,1018,20131008,-
64,A108230,kosdaq,톱텍,4715,20090915,44.60
65,A009310,kospi,참엔지니어링,843,19871112,17.47
66,A177350,kosdaq,베셀,675,20150619,-
67,A049120,kosdaq,파인디앤씨,478,20010726,-
68,A080000,kosdaq,에스엔유,1419,20050125,28.52
69,A083500,kosdaq,에프엔에스테크,1048,20170227,12.14
70,A171090,kosdaq,선익시스템,1390,20170920,60.12
71,A054040,kosdaq,한국컴퓨터,739,20020115,8.46
72,A043290,kosdaq,케이맥,1294,20111025,-
73,A109740,kosdaq,디에스케이,1288,20090923,-
74,A213420,kosdaq,덕산네오룩스,10973,20150206,32.90
75,A082850,kosdaq,우리바이오,1864,20050729,11.07
76,A153490,kosdaq,우리이앤엘,679,20130205,-
77,A073110,kosdaq,엘엠에스,947,20071012,-
78,A079810,kosdaq,디이엔티,1062,20050126,-
79,A155650,kosdaq,와이엠씨,1798,20121115,23.81
80,A131760,kosdaq,파인텍,599,20150817,-
81,A117730,kosdaq,티로보틱스,1343,20181129,-
82,A062860,kosdaq,티엘아이,1081,20060725,-
83,A187870,kosdaq,디바이스이엔지,2878,20171220,9.47
84,A049950,kosdaq,미래컴퍼니,2642,20050104,-
85,A149950,kosdaq,아바텍,2497,20121106,47.76
86,A317330,kosdaq,덕산테코피아,3712,20190802,29.11
87,A290690,kosdaq,소룩스,1610,20201106,-
88,A095500,kosdaq,미래나노텍,1142,20071001,4.87
89,A297890,kosdaq,엘이티,1290,20200622,-
90,A090740,kosdaq,아이엠이연이,894,20070919,-
91,A214310,kosdaq,세미콘라이트,482,20150625,-
92,A272110,kosdaq,케이엔제이,800,20191025,-
93,A051360,kosdaq,토비스,1304,20041119,-
94,A121850,kosdaq,코이즈,845,20120927,-
