,code,class,name,market_cap,reg_day,per
0,A037350,kosdaq,성도이엔지,1052,20000111,1.18
1,A000995,kospi,DB하이텍1우,129,19751212,30.70
2,A031980,kosdaq,피에스케이홀딩스,2372,19970107,3.74
3,A042700,kospi,한미반도체,15184,20050722,31.81
4,A058470,kosdaq,리노공업,25211,20011218,45.53
5,A025560,kospi,미래산업,631,19961122,-
6,A054940,kosdaq,엑사이엔씨,554,20011213,-
7,A114810,kosdaq,아이원스,2326,20130207,608.00
8,A064290,kosdaq,인텍플러스,3468,20110105,37.52
9,A032580,kosdaq,피델릭스,528,19970422,-
10,A219130,kosdaq,타이거일렉,827,20150925,18.69
11,A166090,kosdaq,하나머티리얼즈,8734,20170428,22.95
12,A066310,kosdaq,큐에스아이,1382,20061124,"1,043.75"
13,A036810,kosdaq,에프에스티,6527,20000118,32.47
14,A083450,kosdaq,GST,2395,20060201,15.15
15,A089890,kosdaq,코세스,1450,20061108,23.06
16,A101160,kosdaq,월덱스,4656,20080619,21.35
17,A080580,kosdaq,오킨스전자,5286,20141224,"1,067.86"
18,A098120,kosdaq,마이크로컨텍솔,505,20080923,45.04
19,A131290,kosdaq,티에스이,6803,20110105,25.07
20,A033160,kosdaq,엠케이전자,2584,19971110,9.34
21,A067310,kosdaq,하나마이크론,4014,20051011,-
22,A005935,kospi,삼성전자우,628685,19750611,19.89
23,A101400,kosdaq,엔시트론,289,20090331,-
24,A084370,kosdaq,유진테크,11343,20060117,325.66
25,A087600,kosdaq,픽셀플러스,661,20150612,16.58
26,A005930,kospi,삼성전자,5134013,19750611,22.39
27,A195870,kospi,해성디에스,5933,20160624,19.78
28,A306620,kosdaq,네온테크,1602,20181031,-
29,A003160,kospi,디아이,2394,19960731,43.93
30,A033640,kosdaq,네패스,9546,19991214,-
31,A102120,kosdaq,어보브반도체,2427,20090605,17.29
32,A006200,kospi,한국전자홀딩스,723,19791130,-
33,A036830,kosdaq,솔브레인홀딩스,8983,20000118,0.41
34,A052900,kosdaq,KMH하이텍,1036,20050118,66.97
35,A082270,kosdaq,젬백스,9726,20050624,582.14
36,A011930,kospi,신성이엔지,6891,19960731,-
37,A000660,kospi,SK하이닉스,1041043,19961226,21.89
38,A059090,kosdaq,미코,4572,20020115,39.35
39,A064520,kosdaq,바른전자,741,20021204,-
40,A083310,kosdaq,엘오티베큠,3088,20051005,74.79
41,A083550,kosdaq,케이엠,1152,20051220,3.68
42,A087730,kosdaq,이엠네트웍스,266,20080404,-
43,A131970,kosdaq,테스나,7454,20131022,22.46
44,A182690,kosdaq,테라셈,305,20141030,-
45,A217190,kosdaq,제너셈,474,20150925,-
46,A267320,kosdaq,나인테크,1923,20170622,-
47,A319660,kosdaq,피에스케이,6497,20190510,29.18
48,A089030,kosdaq,테크윙,4517,20111110,14.04
49,A200470,kosdaq,에이팩트,1227,20141226,18.44
50,A077500,kospi,유니퀘스트,3225,20040805,13.44
51,A036930,kosdaq,주성엔지니어링,5525,19991224,-
52,A281820,kospi,케이씨텍,6102,20171205,13.71
53,A059120,kosdaq,아진엑스텍,695,20140724,55.70
54,A092870,kosdaq,엑시콘,1566,20151022,13.11
55,A264660,kosdaq,씨앤지하이테크,1223,20180125,12.54
56,A078350,kosdaq,한양디지텍,769,20040514,13.62
57,A029460,kospi,케이씨,3734,19971125,7.80
58,A142210,kosdaq,유니트론텍,883,20160202,56.67
59,A073570,kosdaq,WI,1168,20040106,-
60,A061970,kosdaq,엘비세미콘,6393,20110131,23.62
61,A036200,kosdaq,유니셈,4431,19991210,21.06
62,A303030,kosdaq,지니틱스,1338,20180830,-
63,A064760,kosdaq,티씨케이,22801,20030818,37.68
64,A039030,kosdaq,이오테크닉스,16434,20000824,76.98
65,A232140,kosdaq,와이아이케이,5611,20151224,26.74
66,A074600,kosdaq,원익QnC,6519,20031212,25.25
67,A171010,kosdaq,램테크놀러지,745,20131118,34.33
68,A241790,kosdaq,오션브릿지,1710,20161201,12.03
69,A079370,kosdaq,제우스,3058,20060201,16.99
70,A030530,kosdaq,원익홀딩스,5422,19960924,6.90
71,A089790,kosdaq,제이티,835,20061027,16.02
72,A357780,kosdaq,솔브레인,23787,20200806,18.90
73,A200710,kosdaq,에이디테크놀로지,3489,20141216,92.11
74,A086390,kosdaq,유니테스트,4882,20061205,296.15
75,A000990,kospi,DB하이텍,25218,19751212,15.23
76,A330860,kosdaq,네패스아크,4820,20201117,-
77,A356860,kosdaq,티엘비,2163,20201214,15.12
78,A119830,kosdaq,아이텍,1275,20101026,-
79,A348210,kosdaq,넥스틴,7316,20201008,44.14
80,A094360,kosdaq,칩스앤미디어,1567,20150805,81.25
81,A227950,kosdaq,엔투텍,1084,20151118,-
