,code,class,name,market_cap,reg_day,per
0,A048910,kosdaq,대원미디어,2981,20010731,72.70
1,A352820,kospi,빅히트,92266,20201015,-
2,A032800,kosdaq,판타지오,509,19970626,-
3,A037560,kospi,LG헬로비전,3880,20121109,-
4,A054780,kosdaq,키이스트,3050,20031114,30.95
5,A104200,kosdaq,NHN벅스,964,20091006,-
6,A053210,kospi,스카이라이프,4266,20110603,7.46
7,A253450,kosdaq,스튜디오드래곤,30574,20171124,97.61
8,A182360,kosdaq,큐브엔터,1350,20131121,-
9,A046140,kosdaq,SBS콘텐츠허브,1552,20030205,19.75
10,A047820,kosdaq,초록뱀,3169,20021224,-
11,A037270,kospi,YG PLUS,3696,20030801,-
12,A053110,kosdaq,소리바다,267,20011009,-
13,A041510,kosdaq,에스엠,7001,20000427,-
14,A033830,kosdaq,티비씨,1525,20101129,40.13
15,A035620,kosdaq,바른손이앤에이,1139,19990813,-
16,A035760,kosdaq,CJ ENM,30876,19991123,54.24
17,A122870,kosdaq,와이지엔터테인먼트,8502,20111123,89.61
18,A101060,kospi,SBS미디어홀딩스,2840,20080324,-
19,A079160,kospi,CJ CGV,9582,20041224,-
20,A066790,kosdaq,씨씨에스,474,20030530,-
21,A002420,kospi,세기상사,251,19681227,-
22,A012170,kospi,키위미디어그룹,685,19891220,-
23,A058420,kosdaq,제이웨이,67,20020110,-
24,A058400,kosdaq,KNN,2735,20101103,44.89
25,A060300,kosdaq,레드로버,488,20020110,31.55
26,A003560,kospi,IHQ,3378,19731218,-
27,A052190,kosdaq,이에스에이,135,20010621,-
28,A011420,kospi,갤럭시아에스엠,486,19891114,49.03
29,A051780,kosdaq,큐로홀딩스,658,20010626,-
30,A122450,kosdaq,KMH,5463,20110525,16.78
31,A035900,kosdaq,JYP Ent.,12211,20010830,41.35
32,A039340,kosdaq,한국경제TV,1638,20040730,8.61
33,A068050,kosdaq,팬엔터테인먼트,2286,20060707,127.12
34,A310200,kosdaq,애니플러스,473,20181221,-
35,A040300,kosdaq,YTN,1583,20010904,20.27
36,A034120,kospi,SBS,3997,20030625,-
37,A204630,kosdaq,스튜디오산타클로스,864,20141229,-
38,A036420,kospi,제이콘텐트리,8119,20191018,-
39,A173940,kosdaq,에프엔씨엔터,855,20141204,-
40,A086980,kosdaq,쇼박스,3080,20060707,-
41,A241840,kosdaq,에이스토리,4031,20190719,-
42,A126560,kospi,현대퓨처넷,5627,20101223,-
43,A206560,kosdaq,덱스터,1990,20151222,-
44,A060570,kosdaq,드림어스컴퍼니,3480,20031219,-
45,A043610,kosdaq,지니뮤직,4004,20000720,42.27
46,A299900,kosdaq,위지윅스튜디오,4006,20181220,-
47,A078860,kosdaq,아이오케이,1095,20060627,-
48,A322780,kosdaq,코퍼스코리아,1149,20190531,54.92
49,A009810,kospi,엔케이물산,504,19880831,7.37
50,A063440,kosdaq,SM Life Design,1580,20020530,-
51,A046390,kosdaq,삼화네트웍스,1787,20010111,-
52,A015020,kospi,이스타코,793,19881223,-
53,A160550,kosdaq,NEW,3223,20141223,-
54,A052220,kosdaq,iMBC,922,20050121,85.32
