,code,class,name,market_cap,reg_day,per
0,A023530,kospi,롯데쇼핑,36634,20060209,-
1,A069960,kospi,현대백화점,21086,20021125,29.98
2,A004170,kospi,신세계,28453,19850819,-
3,A950170,kosdaq,JTC,1817,20180406,-
4,A282330,kospi,BGF리테일,27741,20171208,22.61
5,A027410,kospi,BGF,7016,20140519,25.72
6,A067830,kospi,세이브존I&C,1498,20020725,15.15
7,A037710,kospi,광주신세계,2728,20020207,6.32
8,A007070,kospi,GS리테일,28760,20111223,17.08
9,A006370,kospi,대구백화점,1169,19881010,-
10,A019010,kosdaq,베뉴지,988,19931105,11.39
11,A139480,kospi,이마트,47250,20110610,13.06
