,code,class,name,market_cap,reg_day,per
0,A016880,kospi,웅진,2485,19941105,-
1,A001745,kospi,SK네트웍스우,127,19770630,805.76
2,A001045,kospi,CJ우,1304,19730629,23.74
3,A001040,kospi,CJ,27135,19730629,38.27
4,A00104K,kospi,CJ4우(전환),3128,19730629,30.45
5,A028260,kospi,삼성물산,234543,20141218,22.95
6,A03473K,kospi,SK우,1466,20091111,97.00
7,A034730,kospi,SK,196657,20091111,104.68
8,A02826K,kospi,삼성물산우B,1953,20141218,21.95
9,A000150,kospi,두산,8221,19730629,-
10,A000157,kospi,두산2우B,518,19730629,-
11,A000155,kospi,두산우,1577,19730629,-
12,A001740,kospi,SK네트웍스,13824,19770630,40.07
13,A003555,kospi,LG우,2430,19700213,8.80
14,A004800,kospi,효성,18269,19730630,-
15,A003550,kospi,LG,156164,19700213,10.86
