,code,class,name,market_cap,reg_day,per
0,A034810,kosdaq,해성산업,4560,19990416,0.70
1,A005110,kospi,한창,838,19760601,-
2,A140910,kospi,에이리츠,298,20110714,-
3,A357120,kospi,코람코에너지리츠,3676,20200831,-
4,A204210,kospi,모두투어리츠,275,20160922,-
5,A034830,kospi,한국토지신탁,6300,20160711,7.43
6,A334890,kospi,이지스밸류리츠,1180,20200716,-
7,A330590,kospi,롯데리츠,12707,20191030,-
8,A210980,kospi,SK디앤디,7036,20150623,12.47
9,A348950,kospi,제이알글로벌리츠,8595,20200807,-
10,A338100,kospi,NH프라임리츠,822,20191205,-
11,A365550,kospi,ESR켄달스퀘어리츠,8739,20201223,-
12,A350520,kospi,이지스레지던스리츠,1009,20200805,-
13,A293940,kospi,신한알파리츠,3878,20180808,-
14,A357250,kospi,미래에셋맵스리츠,988,20200805,-
15,A123890,kospi,한국자산신탁,5895,20160713,4.53
16,A145270,kospi,케이탑리츠,892,20120131,-
17,A088260,kospi,이리츠코크렙,3560,20180627,-
