,code,class,name,market_cap,reg_day,per
0,A054410,kosdaq,케이피티유,713,20020425,-
1,A008355,kospi,남선알미우,104,19780522,354.21
2,A058430,kospi,포스코강판,1800,20020816,28.41
3,A021050,kospi,서원,1151,19960130,-
4,A024090,kospi,디씨엠,2252,19990818,11.28
5,A060480,kosdaq,국일신동,510,20141229,574.38
6,A032560,kospi,황금에스티,1231,20091029,8.40
7,A018470,kospi,조일알미늄,562,19881122,-
8,A001560,kospi,제일연마,806,20051209,24.72
9,A025820,kospi,이구산업,950,19950818,49.82
10,A177830,kosdaq,파버나인,809,20140804,17.97
11,A008350,kospi,남선알미늄,4137,19780522,39.53
12,A069460,kospi,대호에이엘,657,20021111,100.21
13,A009190,kospi,대양금속,1178,19940429,-
14,A000480,kospi,조선내화,3336,19780630,9.94
15,A009730,kosdaq,코센,264,19900727,-
16,A079170,kosdaq,한창산업,398,20050201,33.85
17,A012800,kospi,대창,1650,19891205,25.14
18,A065620,kosdaq,제낙스,790,20020627,124.61
19,A075970,kosdaq,동국알앤에스,1132,20040213,38.20
20,A081150,kosdaq,티플랙스,911,20090423,24.07
21,A005810,kospi,풍산홀딩스,2420,19880728,19.29
22,A103140,kospi,풍산,9248,20080730,12.87
23,A010130,kospi,고려아연,76329,19900728,13.32
24,A037760,kosdaq,쎄니트,651,20000407,7.40
25,A186230,kosdaq,그린플러스,1177,20190807,-
26,A037370,kosdaq,EG,855,20000111,-
27,A155660,kospi,DSR,954,20130515,10.68
28,A006110,kospi,삼아알미늄,1035,19801205,29.50
29,A081000,kospi,일진다이아,5923,20041222,113.62
30,A128660,kosdaq,피제이메탈,657,20101213,13.87
31,A015890,kospi,태경산업,2163,19960130,57.81
32,A010040,kospi,한국내화,909,20001016,61.15
33,A014580,kospi,태경비케이,1234,19910307,26.80
34,A004565,kospi,현대비앤지스틸우,85,19870324,49.55
35,A004560,kospi,현대비앤지스틸,2247,19870324,9.59
36,A009620,kosdaq,삼보산업,423,19931207,-
37,A001780,kospi,알루코,4335,20070607,-
