,code,class,name,market_cap,reg_day,per
0,A043910,kosdaq,자연과환경,866,20051118,-
1,A029960,kosdaq,코엔텍,4505,20040618,17.63
2,A058850,kospi,KTcs,1244,20100916,11.61
3,A092130,kosdaq,이크레더블,2674,20081024,20.48
4,A034310,kospi,NICE,6573,20040204,38.90
5,A130580,kosdaq,나이스디앤비,1540,20111222,14.33
6,A036800,kosdaq,나이스정보통신,3010,20000503,22.28
7,A143240,kosdaq,사람인에이치알,3941,20120221,18.15
8,A049720,kosdaq,고려신용정보,1000,20020131,9.71
9,A034950,kosdaq,한국기업평가,4018,20020207,20.14
10,A050540,kosdaq,한국코퍼레이션,143,20051212,4.70
11,A122900,kospi,아이마켓코리아,3085,20100730,15.41
12,A030190,kosdaq,NICE평가정보,14784,20000516,31.34
13,A012750,kospi,에스원,31121,19960130,21.90
14,A094280,kospi,효성ITX,2271,20071025,19.15
15,A060150,kosdaq,인선이엔티,6193,20020614,15.03
16,A090850,kosdaq,이지웰,2299,20131227,23.55
17,A069140,kosdaq,누리플랜,542,20101026,15.41
18,A058860,kospi,KTis,1046,20101217,14.17
19,A072520,kosdaq,제넨바이오,2781,20041029,-
20,A036120,kosdaq,SCI평가정보,1590,19991207,25.60
