,code,class,name,market_cap,reg_day,per
0,A205470,kosdaq,휴마시스,3224,20141201,14.67
1,A241820,kosdaq,피씨엘,5362,20170223,26.27
2,A950130,kosdaq,엑세스바이오,5320,20130530,10.46
3,A086040,kosdaq,바이오톡스텍,1580,20070921,60.34
4,A141080,kosdaq,레고켐바이오,13529,20130510,-
5,A038290,kosdaq,마크로젠,3345,20000222,3.77
6,A278650,kosdaq,노터스,2042,20191127,24.41
7,A084650,kosdaq,랩지노믹스,2216,20141216,5.03
8,A238120,kosdaq,얼라인드,590,20161103,126.31
9,A036180,kosdaq,지더블유바이텍,359,19991221,-
10,A180400,kosdaq,캔서롭,1786,20151120,-
11,A215380,kosdaq,우정바이오,745,20150518,-
12,A008490,kospi,서흥,5981,19900327,11.29
13,A950200,kosdaq,소마젠(Reg.S),2380,20200713,-
14,A046210,kosdaq,파나진,1473,20000816,29.97
15,A347740,kosdaq,피엔케이피부임상연구센타,1606,20200909,20.92
16,A127120,kosdaq,디엔에이링크,685,20111226,-
17,A039860,kosdaq,나노엔텍,1884,20000816,68.25
18,A245620,kosdaq,EDGC,2026,20180626,-
19,A048530,kosdaq,인트론바이오,8301,20110126,53.91
20,A217600,kosdaq,켐온,1957,20150626,102.17
21,A335810,kosdaq,프리시젼바이오,1715,20201222,-
22,A206640,kosdaq,바디텍메드,3993,20141229,8.77
23,A317690,kosdaq,퀀타매트릭스,2359,20201209,-
24,A354200,kosdaq,엔젠바이오,1917,20201210,-
25,A096530,kosdaq,씨젠,34209,20100910,6.81
26,A068330,kosdaq,일신바이오,2080,20071226,52.28
27,A131220,kosdaq,대한과학,880,20111011,51.53
28,A083790,kosdaq,크리스탈지노믹스,4252,20060106,-
29,A182400,kosdaq,엔케이맥스,5956,20151023,-
