,code,class,name,market_cap,reg_day,per
0,A185490,kosdaq,아이진,2174,20151116,-
1,A348150,kosdaq,고바이오랩,5087,20201118,-
2,A299660,kosdaq,셀리드,4946,20190220,-
3,A166480,kosdaq,코아스템,2688,20150626,-
4,A196300,kosdaq,애니젠,743,20161207,-
5,A206650,kosdaq,유바이오로직스,7870,20170124,-
6,A217730,kosdaq,강스템바이오텍,1748,20151221,-
7,A092040,kosdaq,아미코젠,7773,20130912,24.59
8,A086820,kosdaq,바이오솔루션,2258,20180820,-
9,A078160,kosdaq,메디포스트,5823,20050729,-
10,A222110,kosdaq,팬젠,843,20160311,-
11,A217330,kosdaq,싸이토젠,3335,20181122,-
12,A214370,kosdaq,케어젠,7047,20151117,22.39
13,A038070,kosdaq,서린바이오,1024,20051025,21.73
14,A087010,kosdaq,펩트론,3012,20150722,-
15,A187420,kosdaq,제노포커스,1700,20150529,-
16,A263050,kosdaq,유틸렉스,6086,20181224,-
17,A145020,kosdaq,휴젤,21949,20151224,52.27
18,A246710,kosdaq,티앤알바이오팹,4476,20181128,-
19,A215600,kosdaq,신라젠,8666,20161206,-
20,A154030,kosdaq,아시아종묘,646,20180212,-
21,A191420,kosdaq,테고사이언스,2088,20141106,112.45
22,A031390,kosdaq,녹십자셀,5199,19980925,253.09
23,A049960,kosdaq,쎌바이오텍,1833,20021213,57.52
24,A054050,kosdaq,농우바이오,2036,20020402,21.67
25,A142760,kosdaq,바이오리더스,1288,20160707,-
26,A226950,kosdaq,올릭스,5178,20180718,-
27,A331920,kosdaq,셀레믹스,1613,20200821,-
28,A002630,kospi,오리엔트바이오,1731,19761228,-
29,A086900,kosdaq,메디톡스,10783,20090116,-
30,A064550,kosdaq,바이오니아,4134,20051229,6.58
31,A203690,kosdaq,프로스테믹스,1437,20140930,-
32,A095700,kosdaq,제넥신,23310,20090915,81.90
33,A084990,kosdaq,헬릭스미스,8892,20051229,-
34,A115180,kosdaq,큐리언트,2768,20160229,-
35,A085660,kosdaq,차바이오텍,9643,20051227,-
36,A011000,kospi,진원생명과학,4992,19871116,-
37,A196170,kosdaq,알테오젠,23983,20141212,-
38,A291650,kosdaq,압타머사이언스,1782,20200916,-
39,A268600,kosdaq,셀리버리,22002,20181109,-
40,A174900,kosdaq,앱클론,4454,20170918,-
41,A109820,kosdaq,진매트릭스,2192,20091106,26.03
42,A208340,kosdaq,파멥신,2621,20181121,-
43,A298380,kosdaq,에이비엘바이오,9855,20181219,-
44,A352770,kosdaq,클리노믹스,1658,20201204,-
45,A039200,kosdaq,오스코텍,11143,20070117,-
