,code,class,name,market_cap,reg_day,per
0,A060900,kosdaq,대한그린파워,4016,20020917,-
1,A000440,kosdaq,중앙에너비스,669,19930324,3.49
2,A014530,kospi,극동유화,2068,19910131,26.83
3,A012320,kospi,경동인베스트,1015,19970307,6.66
4,A078935,kospi,GS우,585,20040805,-
5,A002960,kospi,한국쉘석유,3334,19880810,15.87
6,A065420,kosdaq,에스아이리소스,424,20020822,35.50
7,A078930,kospi,GS,36005,20040805,-
8,A267250,kospi,현대중공업지주,44631,20170510,-
9,A010950,kospi,S-Oil,89616,19870527,-
10,A003650,kospi,미창석유,1353,19890927,6.88
11,A024060,kosdaq,흥구석유,1068,19941207,22.32
12,A038620,kosdaq,위즈코프,639,20000504,22.83
13,A010955,kospi,S-Oil우,1828,19870527,-
14,A096770,kospi,SK이노베이션,211284,20070725,-
15,A006120,kospi,SK디스커버리,11175,19760629,4.48
16,A096775,kospi,SK이노베이션우,2097,20070725,-
17,A128820,kospi,대성산업,2160,20100730,4.45
18,A006125,kospi,SK디스커버리우,564,19760629,3.17
19,A091090,kospi,세원셀론텍,1241,20060731,-
20,A093230,kospi,이아이디,2421,20071101,-
