,code,class,name,market_cap,reg_day,per
0,A004830,kospi,덕성,4194,19870925,126.18
1,A007980,kospi,태평양물산,1006,19941227,-
2,A006060,kospi,화승인더,4658,19910204,12.47
3,A306040,kosdaq,에스제이그룹,2397,20191118,15.31
4,A004835,kospi,덕성우,338,19870925,114.39
5,A035150,kospi,백산,2541,19990811,-
6,A194370,kospi,제이에스코퍼레이션,2454,20160204,103.95
7,A009275,kospi,신원우,35,19880824,-
8,A215480,kosdaq,토박스코리아,726,20150513,-
9,A105630,kospi,한세실업,8240,20090320,18.34
10,A298540,kosdaq,더네이쳐홀딩스,4051,20200727,9.18
11,A032080,kosdaq,아즈텍WB,574,20001026,15.80
12,A088790,kospi,진도,784,20060328,-
13,A007700,kospi,F&F,21560,19841004,25.13
14,A031430,kospi,신세계인터내셔날,15065,20110714,29.59
15,A263020,kosdaq,디케이앤디,724,20181120,20.28
16,A000680,kospi,LS네트웍스,2277,19731115,-
17,A005390,kospi,신성통상,2414,19751222,21.54
18,A101140,kospi,인바이오젠,2042,20080402,-
19,A159580,kosdaq,제로투세븐,2354,20130219,-
20,A016090,kospi,대현,1056,19900920,11.69
21,A090370,kospi,메타랩스,764,20061226,-
22,A081660,kospi,휠라홀딩스,25911,20100928,18.66
23,A013990,kosdaq,아가방컴퍼니,1189,20020117,-
24,A000950,kospi,전방,667,19681021,11.30
25,A111110,kospi,호전실업,820,20170202,-
26,A005800,kospi,신영와코루,904,19761228,30.97
27,A004700,kospi,조광피혁,3730,19770527,18.98
28,A225590,kosdaq,패션플랫폼,413,20151005,37.80
29,A064800,kosdaq,젬백스링크,1222,20020822,12.24
30,A001465,kospi,BYC우,342,19750602,7.30
31,A298020,kospi,효성티앤씨,24062,20180713,17.59
32,A337930,kosdaq,브랜드엑스코퍼레이션,2288,20200813,30.30
33,A084870,kospi,TBH글로벌,401,20051219,-
34,A009970,kospi,영원무역홀딩스,6150,19881107,5.86
35,A008600,kospi,윌비스,1204,19890728,-
36,A001460,kospi,BYC,2324,19750602,17.08
37,A039980,kosdaq,리노스,501,20020813,-
38,A033290,kosdaq,코웰패션,5620,19971013,9.28
39,A002170,kospi,삼양통상,2274,19891110,4.56
40,A026040,kosdaq,제이에스티나,380,19991221,-
41,A069640,kospi,한세엠케이,505,20110621,-
42,A020000,kospi,한섬,10172,19960703,11.95
43,A003200,kospi,일신방직,2278,19730523,22.70
44,A093050,kospi,LF,5380,20061201,31.08
45,A033340,kosdaq,좋은사람들,527,19971103,-
46,A001070,kospi,대한방직,2186,19731228,81.52
47,A308100,kosdaq,까스텔바작,907,20190610,18.91
48,A011300,kospi,성안,447,19951110,-
49,A009270,kospi,신원,1331,19880824,-
50,A065060,kosdaq,지엔코,933,20020528,-
51,A014990,kospi,인디에프,763,19890620,-
52,A110790,kosdaq,크리스에프앤씨,3438,20181001,8.89
53,A900110,kosdaq,이스트아시아홀딩스,249,20100423,-
54,A204020,kosdaq,그리티,641,20180723,66.25
55,A003610,kospi,방림,999,19890530,27.13
56,A000050,kospi,경방,3564,19560303,27.37
57,A008290,kosdaq,원풍물산,787,19970718,-
58,A111770,kospi,영원무역,17215,20090730,11.66
59,A144620,kospi,코오롱머티리얼,2149,20120405,-
60,A004060,kospi,SG세계물산,1526,19760419,-
61,A047770,kosdaq,코데즈컴바인,937,20010918,16.61
62,A024890,kospi,대원화성,1171,19971028,-
63,A011330,kospi,유니켐,1092,19891214,10.00
64,A267790,kosdaq,배럴,736,20180201,-
65,A102280,kospi,쌍방울,1449,20080610,-
66,A241590,kospi,화승엔터프라이즈,11776,20161004,29.38
67,A010600,kospi,웰바이오텍,1366,19970718,-
68,A098660,kosdaq,에스티오,345,20090417,-
69,A114630,kosdaq,우노앤컴퍼니,789,20100115,42.72
70,A016450,kospi,한세예스24홀딩스,3476,20000106,6.39
71,A323230,kosdaq,엠에프엠코리아,408,20190619,-
72,A079980,kospi,휴비스,3195,20120223,3.89
73,A002070,kospi,비비안,917,19760713,-
74,A093240,kospi,형지엘리트,1463,20090928,586.88
75,A352700,kosdaq,씨앤투스성진,2294,20210128,4.93
76,A005320,kospi,국동,1711,19961224,8.88
77,A001530,kospi,DI동일,3982,19640104,20.72
78,A038530,kosdaq,골드퍼시픽,899,20000609,-
79,A011080,kosdaq,형지I&C,715,20040702,-
