,code,class,name,market_cap,reg_day,per
0,A203650,kosdaq,드림시큐리티,2829,20141013,57.63
1,A085810,kosdaq,알티캐스트,725,20131206,-
2,A041020,kosdaq,인프라웨어,1032,20051028,-
3,A184230,kosdaq,SGA솔루션즈,619,20131220,10.13
4,A192250,kosdaq,케이사인,1544,20140428,33.11
5,A053350,kosdaq,이니텍,1059,20011115,71.33
6,A042510,kosdaq,라온시큐어,1818,20010103,-
7,A053980,kosdaq,오상자이엘,1242,20020409,5.39
8,A067920,kosdaq,이글루시큐리티,759,20100804,15.51
9,A060850,kosdaq,영림원소프트랩,1098,20200812,19.68
10,A153460,kosdaq,네이블,456,20120719,79.32
11,A054920,kosdaq,한컴위드,2604,20011101,34.19
12,A347860,kosdaq,알체라,4626,20201221,-
13,A030520,kosdaq,한글과컴퓨터,4497,19960924,12.42
14,A075130,kosdaq,플랜티넷,630,20050610,62.77
15,A189690,kosdaq,포시에스,639,20150211,16.17
16,A290270,kosdaq,휴네시온,632,20180802,18.85
17,A262840,kosdaq,아이퀘스트,1489,20210205,28.82
18,A079970,kosdaq,투비소프트,846,20100601,-
19,A158430,kosdaq,아톤,1045,20191017,87.91
20,A100030,kosdaq,모바일리더,701,20100525,13.93
21,A138580,kosdaq,비즈니스온,2679,20171130,76.21
22,A220180,kosdaq,핸디소프트,711,20161124,20.47
23,A131090,kosdaq,시큐브,598,20111221,24.92
24,A136540,kosdaq,윈스,2110,20110502,11.54
25,A047560,kosdaq,이스트소프트,1144,20080701,16.56
26,A150900,kosdaq,파수,923,20131018,-
27,A040160,kosdaq,누리텔레콤,886,20000829,31.01
28,A197140,kosdaq,디지캡,623,20180907,54.26
29,A279600,kosdaq,미디어젠,519,20191105,-
30,A195440,kosdaq,퓨전,86,20161221,-
31,A016670,kosdaq,포비스티앤씨,842,19930421,-
32,A065710,kosdaq,서호전기,1112,20020716,16.40
33,A078000,kospi,텔코웨어,1135,20040720,60.94
34,A053800,kosdaq,안랩,7100,20010913,38.24
35,A053580,kosdaq,웹케시,4931,20190125,28.37
36,A094860,kosdaq,네오리진,1096,20070416,-
37,A219420,kosdaq,링크제니시스,804,20180205,125.62
38,A205100,kosdaq,엑셈,1635,20141107,19.94
39,A275630,kosdaq,에스에스알,384,20180806,-
40,A222810,kosdaq,마이더스AI,619,20150813,-
41,A301300,kosdaq,바이브컴퍼니,1580,20201028,-
42,A086960,kosdaq,한컴MDS,1404,20060926,33.33
43,A139670,kosdaq,키네마스터,7274,20111202,296.69
44,A131370,kosdaq,알서포트,4490,20110105,-
45,A049470,kosdaq,SGA,556,20011011,14.07
46,A012510,kospi,더존비즈온,27434,19881028,50.17
47,A258790,kosdaq,소프트캠프,837,20170427,45.27
48,A263860,kosdaq,지니언스,745,20170802,21.74
49,A208350,kosdaq,지란지교시큐리티,626,20141224,-
50,A208860,kosdaq,엔지스테크널러지,275,20160728,-
