,code,class,name,market_cap,reg_day,per
0,A000545,kospi,흥국화재우,74,19741205,27.79
1,A000547,kospi,흥국화재2우B,34,19741205,63.32
2,A244920,kospi,에이플러스에셋,1989,20201120,9.02
3,A000540,kospi,흥국화재,2570,19741205,11.46
4,A000810,kospi,삼성화재,89065,19750630,12.59
5,A000815,kospi,삼성화재우,4724,19750630,9.91
6,A138040,kospi,메리츠금융지주,21241,20110513,4.42
7,A003690,kospi,코리안리,10135,19691222,7.14
8,A001450,kospi,현대해상,21009,19890825,6.33
9,A005830,kospi,DB손해보험,32816,19730628,5.87
10,A000060,kospi,메리츠화재,22798,19560702,5.03
11,A000370,kospi,한화손해보험,5382,19750630,8.78
12,A000400,kospi,롯데손해보험,5555,19710416,-
