,code,class,name,market_cap,reg_day,per
0,A014710,kospi,사조씨푸드,1085,20120629,13.85
1,A26490K,kospi,크라운제과우,91,20170411,9.68
2,A001800,kospi,오리온홀딩스,9741,19750627,12.57
3,A036580,kospi,팜스코,2626,19991025,21.15
4,A136490,kospi,선진,3900,20110216,4.66
5,A017810,kospi,풀무원,6995,19951005,47.54
6,A004970,kospi,신라교역,1776,19760630,23.17
7,A011150,kospi,CJ씨푸드,1725,19881126,82.76
8,A002600,kospi,조흥,1146,19761223,15.25
9,A101530,kospi,해태제과식품,2516,20160511,9.16
10,A006090,kospi,사조오양,1032,19861224,5.59
11,A008040,kospi,사조동아원,1898,19890624,19.78
12,A136480,kosdaq,하림,3239,20110502,38.61
13,A088910,kosdaq,동우팜투테이블,911,20060623,-
14,A001130,kospi,대한제분,2560,19701125,12.30
15,A004415,kospi,서울식품우,113,19731228,-
16,A195500,kosdaq,마니커에프앤지,787,20190820,23.58
17,A049770,kospi,동원F&B,7525,20001123,9.66
18,A005745,kospi,크라운해태홀딩스우,89,19760630,10.00
19,A011155,kospi,CJ씨푸드1우,74,19881126,637.93
20,A001795,kospi,대한제당우,241,19681227,15.80
21,A003310,kosdaq,대주산업,810,19920801,23.13
22,A027710,kosdaq,팜스토리,2273,19960706,8.36
23,A264900,kospi,크라운제과,1321,20170411,8.65
24,A073560,kosdaq,우리손에프앤지,1613,20160727,7.40
25,A027740,kospi,마니커,1423,20021029,-
26,A084695,kospi,대상홀딩스우,77,20050817,3.58
27,A066360,kosdaq,체리부로,599,20171204,-
28,A003680,kospi,한성기업,497,19890126,21.95
29,A280360,kospi,롯데제과,8630,20171030,21.06
30,A003960,kospi,사조대림,1659,19760916,4.90
31,A007160,kospi,사조산업,2515,19890725,33.99
32,A004410,kospi,서울식품,1356,19731228,-
33,A005740,kospi,크라운해태홀딩스,1500,19760630,6.80
34,A006040,kospi,동원산업,9562,19890307,3.97
35,A145995,kospi,삼양사우,155,20111205,7.76
36,A000075,kospi,삼양홀딩스우,185,19681227,5.28
37,A140410,kosdaq,메지온,13579,20120120,-
38,A267980,kosdaq,매일유업,5726,20170605,9.93
39,A084690,kospi,대상홀딩스,3730,20050817,4.36
40,A002140,kospi,고려산업,1065,19910114,15.53
41,A035810,kosdaq,이지홀딩스,2540,19991123,2.80
42,A000070,kospi,삼양홀딩스,7888,19681227,7.98
43,A003380,kosdaq,하림지주,8671,20170630,15.92
44,A072710,kospi,농심홀딩스,3557,20030730,5.20
45,A007540,kospi,샘표,1530,19760629,8.56
46,A00499K,kospi,롯데지주우,581,19740216,-
47,A025880,kosdaq,케이씨피드,808,19950707,71.10
48,A353810,kosdaq,이지바이오,2359,20200605,15.13
49,A208140,kosdaq,정다운,1195,20141217,-
50,A005610,kospi,SPC삼립,6291,19750502,-
51,A005180,kospi,빙그레,5852,19780831,16.78
52,A001680,kospi,대상,8801,19700401,7.31
53,A008800,kosdaq,행남사,808,19930903,-
54,A145990,kospi,삼양사,5910,20111205,10.62
55,A001685,kospi,대상우,245,19700401,5.14
56,A006980,kospi,우성사료,1262,19881010,21.96
57,A002680,kosdaq,한탑,472,19950707,-
58,A339770,kospi,교촌에프앤비,4534,20201112,16.40
59,A900340,kosdaq,윙입푸드,628,20181130,7.01
60,A030720,kospi,동원수산,416,19961122,-
61,A002270,kospi,롯데푸드,4256,19730509,6.06
62,A003920,kospi,남양유업,2192,19780624,-
63,A004370,kospi,농심,17244,19760630,11.61
64,A007310,kospi,오뚜기,20857,19940812,19.39
65,A290720,kosdaq,푸드나무,1783,20181004,28.32
66,A218150,kosdaq,미래생명자원,924,20150618,97.06
67,A003925,kospi,남양유업우,279,19780624,-
68,A271560,kospi,오리온,51397,20170707,19.21
69,A005990,kosdaq,매일홀딩스,1273,19990514,64.44
70,A016790,kosdaq,현대사료,984,20180601,761.90
71,A277410,kosdaq,인산가,571,20170929,11.69
72,A025870,kosdaq,신라에스지,686,19950707,-
73,A003230,kospi,삼양식품,6750,19750630,10.04
74,A004990,kospi,롯데지주,35040,19740216,-
75,A009780,kosdaq,엠에스씨,874,19931012,9.77
76,A248170,kospi,샘표식품,2204,20160809,6.11
77,A222980,kosdaq,한국맥널티,1106,20151223,24.42
78,A103840,kosdaq,우양,806,20191120,22.00
79,A005670,kosdaq,푸드웰,797,19931207,19.39
80,A005860,kosdaq,한일사료,784,19941107,36.18
81,A002760,kospi,보락,1321,19891130,315.00
82,A001790,kospi,대한제당,3507,19681227,16.63
83,A026960,kospi,동서,31804,20160715,27.17
