,code,class,name,market_cap,reg_day,per
0,A300080,kosdaq,플리토,787,20190717,-
1,A289220,kosdaq,자이언트스텝,4808,20210324,-
2,A057680,kosdaq,티사이언티픽,1935,20020618,257.50
3,A035720,kospi,카카오,482782,20170710,306.31
4,A317530,kosdaq,캐리소프트,521,20191029,-
5,A035420,kospi,NAVER,638163,20081128,63.72
6,A067160,kosdaq,아프리카TV,9196,20031219,25.13
7,A020120,kospi,키다리스튜디오,4518,19960703,"4,600.00"
8,A214270,kosdaq,퓨쳐스트림네트웍스,1523,20150325,-
9,A239340,kosdaq,줌인터넷,1473,20160609,124.55
10,A089230,kosdaq,THE E&M,1754,20061010,-
