,code,class,name,market_cap,reg_day,per
0,A067390,kosdaq,아스트,1600,20141224,-
1,A221840,kosdaq,하이즈항공,949,20151125,-
2,A079550,kospi,LIG넥스원,9680,20151002,16.72
3,A065450,kosdaq,빅텍,2083,20030205,69.24
4,A263540,kosdaq,샘코,603,20170915,-
5,A046120,kosdaq,오르비텍,2032,20100615,-
6,A047810,kospi,한국항공우주,36553,20110630,48.96
7,A272210,kospi,한화시스템,23534,20191113,25.15
8,A012450,kospi,한화에어로스페이스,20404,19870527,16.88
9,A010820,kospi,퍼스텍,1178,19890510,16.33
10,A214430,kosdaq,아이쓰리시스템,1471,20150730,48.82
11,A215090,kosdaq,이디티,593,20150428,-
12,A099320,kosdaq,쎄트렉아이,4201,20080613,35.44
13,A274090,kosdaq,켄코아에어로스페이스,1620,20200303,-
14,A361390,kosdaq,제노코,1353,20210324,63.46
15,A005870,kospi,휴니드,1224,19910903,21.41
16,A230980,kosdaq,에이트원,1413,20160302,-
