,code,class,name,market_cap,reg_day,per
0,A000890,kospi,보해양조,1597,19880923,94.23
1,A033920,kospi,무학,2103,20100720,15.87
2,A005305,kospi,롯데칠성우,513,19730621,-
3,A000145,kospi,하이트진로홀딩스우,71,19730919,5.55
4,A043650,kosdaq,국순당,1498,20000824,8.01
5,A000080,kospi,하이트진로,25704,20091019,30.14
6,A005300,kospi,롯데칠성,12431,19730621,-
7,A023900,kosdaq,풍국주정,2570,19941123,31.34
8,A018120,kosdaq,진로발효,2079,19931229,18.30
9,A000087,kospi,하이트진로2우B,228,20091019,16.57
10,A007390,kosdaq,네이처셀,6051,19921130,-
11,A023150,kospi,MH에탄올,646,19961224,9.46
12,A004650,kosdaq,창해에탄올,1241,20140730,9.55
13,A000140,kospi,하이트진로홀딩스,3725,19730919,5.90
14,A189980,kosdaq,흥국에프엔비,1965,20150807,46.55
