,code,class,name,market_cap,reg_day,per
0,A080010,kosdaq,이상네트웍스,670,20050930,10.78
1,A069920,kosdaq,아이에스이커머스,1030,20071205,-
2,A119860,kosdaq,다나와,4380,20110124,14.16
3,A035080,kosdaq,인터파크,3775,19990705,-
4,A141020,kosdaq,포티스,188,20130129,-
5,A111820,kosdaq,지와이커머스,685,20100618,-
6,A028150,kosdaq,GS홈쇼핑,9916,20000120,7.92
7,A290510,kosdaq,코리아센터,6492,20191129,43.25
8,A057050,kospi,현대홈쇼핑,9600,20100913,8.52
9,A138250,kospi,엔에스쇼핑,3892,20150327,60.16
10,A053280,kosdaq,예스24,2692,20080507,"1,956.25"
11,A036030,kosdaq,KTH,4197,19991224,-
