,code,class,name,market_cap,reg_day,per
0,A007860,kospi,서연,5072,19890909,-
1,A122350,kosdaq,삼기,1647,20100319,-
2,A048430,kosdaq,유라테크,1400,20010111,31.56
3,A031510,kosdaq,오스템,1105,19970212,46.96
4,A900280,kosdaq,골든센츄리,656,20161019,2.77
5,A020400,kosdaq,대동금속,290,19930730,17.06
6,A053700,kosdaq,삼보모터스,1281,20011106,-
7,A200880,kospi,서연이화,2743,20140808,-
8,A019770,kosdaq,서연탑메탈,1497,20110624,41.86
9,A025440,kosdaq,대성엘텍,1352,19950522,-
10,A004105,kospi,태양금속우,101,19760525,-
11,A072470,kosdaq,우리산업홀딩스,1077,20031028,53.77
12,A005850,kospi,에스엘,11593,19881108,17.66
13,A023810,kospi,인팩,821,20040921,24.36
14,A214330,kospi,금호에이치티,2724,20151111,-
15,A004490,kospi,세방전지,11074,19871128,16.71
16,A005725,kospi,넥센우,108,19871219,15.84
17,A010770,kospi,평화홀딩스,546,19860331,-
18,A012200,kospi,계양전기,1464,19880706,15.27
19,A013310,kosdaq,아진산업,1527,20151222,-
20,A105330,kosdaq,케이엔더블유,731,20090929,-
21,A007530,kosdaq,영신금속,475,19940805,-
22,A130500,kosdaq,GH신소재,682,20130802,"1,240.00"
23,A212560,kosdaq,네오오토,739,20151118,20.87
24,A005720,kospi,넥센,2541,19871219,24.97
25,A038110,kosdaq,에코플라스틱,832,20000323,-
26,A004840,kospi,DRB동일,1311,19760521,56.24
27,A093380,kosdaq,풍강,416,20070601,33.68
28,A085910,kosdaq,네오티스,541,20071001,254.71
29,A025530,kospi,SJM홀딩스,554,19970212,18.46
30,A154040,kosdaq,솔루에타,554,20131227,-
31,A012205,kospi,계양전기우,98,19880706,23.88
32,A006660,kospi,삼성공조,784,19871128,14.53
33,A900070,kosdaq,글로벌에스엠,674,20091223,-
34,A002350,kospi,넥센타이어,7520,19760519,-
35,A002355,kospi,넥센타이어1우B,194,19760519,-
36,A161390,kospi,한국타이어앤테크놀로지,58903,20121004,15.82
37,A900260,kosdaq,로스웰,448,20160630,-
38,A004100,kospi,태양금속,631,19760525,-
39,A001420,kospi,태원물산,347,19750624,-
40,A053060,kosdaq,세동,300,20010817,-
41,A092780,kospi,동양피스톤,732,20171208,-
42,A105550,kosdaq,트루윈,972,20140711,104.42
43,A012860,kosdaq,모베이스전자,1780,19941026,-
44,A001380,kospi,SG충방,1954,19760629,-
45,A000240,kospi,한국앤컴퍼니,16697,19681227,9.85
46,A001620,kospi,케이비아이동국실업,600,19900915,-
47,A008500,kospi,일정실업,194,19940812,-
48,A010580,kospi,지코,198,19941227,-
49,A011320,kosdaq,유니크,1584,19931229,-
50,A021820,kospi,세원정공,809,19960703,4.90
51,A023890,kosdaq,한국아트라스비엑스,5691,19941123,13.31
52,A024830,kosdaq,세원물산,524,19941229,2.86
53,A033250,kospi,체시스,512,19990811,-
54,A033600,kosdaq,럭슬,95,20001121,-
55,A046070,kosdaq,코다코,512,20001226,-
56,A073070,kosdaq,에이팸,584,20040128,-
57,A078590,kosdaq,OQP,3062,20051027,-
58,A080440,kosdaq,에스제이케이,66,20050513,-
59,A086250,kosdaq,이노와이즈,433,20061110,-
60,A090080,kospi,평화산업,601,20060602,-
61,A282690,kospi,동아타이어,1559,20171129,11.69
62,A900080,kosdaq,에스앤씨엔진그룹,244,20091204,-
63,A900100,kosdaq,뉴프라이드,898,20100421,-
64,A005710,kosdaq,대원산업,1679,19930621,9.29
65,A126600,kosdaq,코프라,1296,20101112,10.18
66,A075180,kospi,새론오토모티브,1140,20051021,18.50
67,A017370,kospi,우신시스템,1027,20020528,-
68,A071850,kosdaq,캐스텍코리아,605,20140527,-
69,A123040,kosdaq,엠에스오토텍,2535,20100806,-
70,A024910,kosdaq,경창산업,1044,19941229,21.75
71,A104040,kosdaq,대성파인텍,920,20090123,57.65
72,A123700,kospi,SJM,676,20100531,25.17
73,A073240,kospi,금호타이어,10945,20050217,-
74,A013870,kospi,지엠비코리아,1425,20121120,-
75,A002880,kospi,대유에이텍,1192,19770218,-
76,A019540,kosdaq,일지테크,529,19921103,-
77,A161570,kosdaq,THE MIDONG,285,20131113,-
78,A290120,kosdaq,대유에이피,770,20181207,13.34
79,A024740,kosdaq,한일단조,607,19961129,-
80,A060980,kospi,한라홀딩스,4236,20100519,9.62
81,A019180,kospi,티에이치엔,591,19960731,-
82,A009680,kospi,모토닉,4174,19940114,28.11
83,A018500,kospi,동원금속,533,19951110,-
84,A043370,kosdaq,평화정공,2247,20011213,28.38
85,A089470,kospi,HDC현대EP,1991,20060925,14.44
86,A118990,kosdaq,모트렉스,2332,20170804,-
87,A090150,kosdaq,광진윈텍,406,20061020,23.46
88,A009900,kospi,명신산업,11255,20201207,-
89,A241690,kosdaq,유니테크노,1511,20160920,15.46
90,A012280,kospi,영화금속,969,19900125,-
91,A036530,kospi,SNT홀딩스,2935,20021022,7.85
92,A378850,kospi,화승알앤에이,1010,20210315,-
93,A013520,kospi,화승코퍼레이션,858,19910222,-
94,A015750,kosdaq,성우하이텍,5208,19951104,-
95,A047400,kospi,유니온머티리얼,1714,20090929,-
96,A000300,kospi,대유플러스,962,19750609,-
97,A092200,kospi,디아이씨,1229,20071018,-
98,A010100,kospi,한국프랜지,923,19871002,7.99
99,A021650,kosdaq,한국큐빅,862,20030124,8.20
100,A113810,kosdaq,디젠스,287,20121122,-
101,A265560,kosdaq,영화테크,1109,20171026,259.38
102,A023000,kospi,삼원강재,1504,20110722,18.52
103,A024120,kosdaq,KB오토시스,1150,19941207,34.60
104,A002920,kospi,유성기업,847,19881010,-
105,A045520,kosdaq,크린앤사이언스,1690,20001205,12.63
106,A130740,kosdaq,티피씨글로벌,645,20110208,26.12
107,A033530,kospi,세종공업,2448,20020925,-
108,A018880,kospi,한온시스템,96084,19960731,86.96
109,A143210,kospi,핸즈코퍼레이션,1445,20161202,-
110,A163560,kospi,동일고무벨트,1230,20121019,17.19
111,A041650,kospi,상신브레이크,895,20041027,-
112,A023800,kospi,인지컨트롤스,2198,19970623,-
113,A234100,kosdaq,세원,1922,20171020,18.04
114,A204320,kospi,만도,30898,20141006,534.96
115,A308170,kospi,센트랄모텍,2557,20191125,36.71
116,A010690,kospi,화신,1805,19940114,-
117,A170030,kosdaq,현대공업,1491,20131204,13.39
118,A009320,kospi,대우부품,1201,19890825,-
119,A000430,kospi,대원강업,2765,19770622,-
120,A013720,kosdaq,청보산업,1194,19931229,-
121,A123410,kosdaq,코리아에프티,933,20100827,25.38
122,A041930,kosdaq,동아화성,1880,20011226,77.27
123,A025540,kospi,한국단자,8332,19961016,14.41
124,A016740,kospi,두올,1478,20160729,34.34
125,A003570,kospi,SNT중공업,2407,19760708,28.84
126,A066590,kosdaq,우수AMS,2162,20030212,-
127,A126640,kosdaq,화신정공,775,20100831,16.02
128,A012330,kospi,현대모비스,281535,19890905,18.47
129,A011210,kospi,현대위아,21702,20110221,35.59
130,A128540,kosdaq,에코캡,604,20181205,-
131,A005030,kospi,부산주공,371,19751226,-
132,A122690,kosdaq,서진오토모티브,591,20100525,-
133,A007340,kospi,디티알오토모티브,2983,19880924,6.49
134,A054300,kosdaq,팬스타엔터프라이즈,497,20020110,-
135,A038880,kosdaq,아이에이,4319,20000427,31.10
136,A088290,kosdaq,이원컴포텍,1698,20091201,-
137,A064960,kospi,SNT모티브,8642,20020311,15.87
138,A080470,kosdaq,성창오토텍,714,20061103,85.79
139,A215360,kosdaq,우리산업,2511,20150506,47.91
140,A067570,kosdaq,엔브이에이치코리아,1622,20131203,-
141,A040610,kosdaq,SG&G,1024,20000427,3.86
142,A065500,kosdaq,오리엔트정공,1196,20020919,-
143,A053270,kosdaq,구영테크,1209,20020207,163.57
144,A024900,kospi,덕양산업,982,19970623,-
145,A145210,kospi,세화아이엠씨,1024,20150319,-
