,code,class,name,market_cap,reg_day,per
0,A147830,kosdaq,제룡산업,850,20120213,14.94
1,A033100,kosdaq,제룡전기,1147,19970818,32.60
2,A006910,kosdaq,보성파워텍,1461,19940907,90.57
3,A001440,kospi,대한전선,9935,19681227,386.67
4,A103590,kospi,일진전기,1459,20080801,30.27
5,A237750,kosdaq,피앤씨테크,500,20160704,22.96
6,A189860,kosdaq,서전기전,450,20141224,17.73
7,A267260,kospi,현대일렉트릭,7263,20170510,-
8,A199820,kosdaq,제일전기공업,2344,20201126,-
9,A298040,kospi,효성중공업,7087,20180713,-
10,A017510,kosdaq,세명전기,704,19911226,32.73
11,A017040,kospi,광명전기,1101,19900914,23.52
12,A006345,kospi,대원전선우,66,19880504,78.91
13,A119850,kosdaq,지엔씨에너지,922,20131002,31.44
14,A126340,kosdaq,비나텍,2051,20200923,42.19
15,A229640,kospi,LS전선아시아,2367,20160922,32.34
16,A042370,kosdaq,비츠로테크,2440,20000803,12.18
17,A024840,kosdaq,KBI메탈,758,19941229,41.07
18,A010170,kosdaq,대한광통신,2308,19941107,-
19,A015860,kospi,일진홀딩스,2512,19900322,24.83
20,A006340,kospi,대원전선,1026,19880504,45.16
21,A010120,kospi,LS ELECTRIC,17910,19940711,21.03
22,A007610,kospi,선도전기,642,19891130,25.65
23,A024810,kosdaq,이화전기,1566,19941229,-
24,A006260,kospi,LS,20930,19770630,16.50
25,A000500,kospi,가온전선,1211,19870608,12.74
