,code,class,name,market_cap,reg_day,per
0,A002230,kosdaq,피에스텍,1168,19910104,270.00
1,A009470,kospi,삼화전기,1819,19861124,43.17
2,A089980,kosdaq,상아프론테크,8350,20110721,356.38
3,A066970,kosdaq,엘앤에프,24260,20030102,-
4,A005680,kospi,삼영전자,2240,19761228,19.61
5,A187270,kosdaq,신화콘텍,363,20140808,32.21
6,A131390,kosdaq,피앤이솔루션,3386,20110927,18.11
7,A043260,kosdaq,성호전자,1015,20011129,5.38
8,A079960,kosdaq,동양이엔피,1348,20050201,5.84
9,A001820,kospi,삼화콘덴서,7183,19760626,30.81
10,A043590,kosdaq,크로바하이텍,462,20011220,-
11,A257370,kosdaq,명성티엔에스,593,20180913,-
12,A042110,kosdaq,에스씨디,781,20000713,20.71
13,A014910,kospi,성문전자,437,19900324,-
14,A058610,kosdaq,에스피지,1952,20020723,14.22
15,A082920,kosdaq,비츠로셀,3252,20091028,23.02
16,A014915,kospi,성문전자우,49,19900324,-
17,A027040,kosdaq,서울전자통신,626,19991203,-
18,A243840,kosdaq,신흥에스이씨,3434,20170927,17.92
19,A222080,kosdaq,씨아이에스,7963,20150902,-
20,A259630,kosdaq,엠플러스,1528,20170920,24.19
21,A047310,kosdaq,파워로직스,3039,20030725,-
22,A137400,kosdaq,피엔티,5367,20120706,14.06
23,A037030,kosdaq,파워넷,1030,20180607,416.00
24,A247540,kosdaq,에코프로비엠,34771,20190305,73.56
25,A302430,kosdaq,이노메트리,1828,20181212,-
26,A006405,kospi,삼성SDI우,7224,19790227,54.68
27,A288620,kosdaq,에스퓨얼셀,2269,20181015,123.60
28,A290670,kosdaq,대보마그네틱,2403,20181106,-
29,A312610,kosdaq,에이에프더블류,1947,20190701,120.12
30,A33626L,kospi,두산퓨얼셀2우B,535,20191018,92.75
31,A33626K,kospi,두산퓨얼셀1우,1965,20191018,76.17
32,A217820,kosdaq,엔에스,1152,20151207,26.77
33,A006400,kospi,삼성SDI,441468,19790227,78.62
34,A033180,kospi,필룩스,4326,20011226,-
35,A036010,kosdaq,아비코전자,917,20020703,-
36,A012340,kosdaq,뉴인텍,1142,19970212,292.31
37,A026890,kospi,디피씨,5772,19971125,29.47
38,A336260,kospi,두산퓨얼셀,31830,20191018,251.81
39,A196490,kosdaq,디에이테크놀로지,1458,20141119,-
