,code,class,name,market_cap,reg_day,per
0,A033320,kosdaq,제이씨현시스템,1739,19971110,16.67
1,A033240,kospi,자화전자,3634,19990106,-
2,A085670,kosdaq,뉴프렉스,386,20060117,-
3,A300120,kosdaq,라온피플,2740,20191018,-
4,A318020,kosdaq,포인트모바일,1682,20201203,-
5,A083640,kosdaq,인콘,1092,20051227,-
6,A131400,kosdaq,액트,1129,20101227,-
7,A101390,kosdaq,아이엠,591,20080723,-
8,A046310,kosdaq,백금T&A,557,20020205,-
9,A187220,kosdaq,디티앤씨,825,20141217,-
10,A092300,kosdaq,현우산업,913,20071024,80.82
11,A348350,kosdaq,위드텍,2301,20201030,-
12,A069510,kosdaq,에스텍,1206,20031114,9.89
13,A032960,kosdaq,동일기연,480,19970718,61.57
14,A35320K,kospi,대덕전자1우,195,20200521,-
15,A272290,kosdaq,이녹스첨단소재,5606,20170710,22.87
16,A317770,kosdaq,슈프리마아이디,547,20190801,69.16
17,A093520,kosdaq,매커스,952,20070212,11.95
18,A011070,kospi,LG이노텍,50174,20080724,21.25
19,A262260,kosdaq,에이프로,2769,20200716,261.36
20,A060230,kosdaq,이그잭스,1396,20020625,-
21,A036710,kosdaq,심텍홀딩스,1084,20000104,4.58
22,A333620,kosdaq,엔시스,2913,20210401,112.45
23,A072990,kosdaq,에이치시티,1018,20161017,9.95
24,A299030,kosdaq,하나기술,2103,20201125,-
25,A222800,kosdaq,심텍,7279,20150807,11.76
26,A347890,kosdaq,엠투아이,1619,20200729,15.30
27,A264850,kosdaq,이랜시스,704,20170601,20.25
28,A004770,kospi,써니전자,1359,19870422,22.94
29,A054800,kosdaq,아이디스홀딩스,1350,20010927,39.79
30,A017250,kosdaq,인터엠,347,19960103,-
31,A098460,kosdaq,고영,16161,20080603,176.46
32,A078600,kosdaq,대주전자재료,6524,20041210,128.10
33,A033200,kosdaq,모아텍,1394,19971013,-
34,A250060,kosdaq,모비스,970,20160908,-
35,A099520,kosdaq,ITX-AI,377,20091222,-
36,A004270,kospi,남성,1512,19891114,-
37,A236200,kosdaq,슈프리마,1917,20160205,20.34
38,A204270,kosdaq,제이앤티씨,5785,20200304,9.61
39,A091340,kosdaq,S&K폴리텍,610,20070730,-
40,A115530,kosdaq,씨엔플러스,570,20111102,-
41,A33637K,kospi,솔루스첨단소재1우,1094,20191018,-
42,A121890,kosdaq,에스디시스템,71,20100716,-
43,A052020,kosdaq,에스티큐브,3073,20010705,-
44,A053450,kosdaq,세코닉스,931,20010809,-
45,A008110,kospi,대동전자,704,19900605,35.13
46,A007810,kospi,코리아써키트,3023,19850909,30.26
47,A033110,kosdaq,코너스톤네트웍스,265,19970818,-
48,A050320,kosdaq,아래스,452,20020115,165.00
49,A068940,kosdaq,아이씨케이,1354,20101019,-
50,A320000,kosdaq,윈텍,530,20190918,-
51,A33637L,kospi,솔루스첨단소재2우B,410,20191018,-
52,A225190,kosdaq,삼양옵틱스,1004,20170602,46.93
53,A015260,kospi,에이엔피,318,19880118,-
54,A066900,kosdaq,디에이피,1000,20040514,19.98
55,A051370,kosdaq,인터플렉스,2904,20030122,-
56,A009155,kospi,삼성전기우,3358,19790227,14.84
57,A336370,kospi,솔루스첨단소재,14622,20191018,-
58,A020150,kospi,일진머티리얼즈,33200,20110304,77.67
59,A090460,kosdaq,비에이치,6048,20070126,22.95
60,A080420,kosdaq,모다이노칩,2818,20051206,26.58
61,A353200,kospi,대덕전자,7091,20200521,-
62,A032820,kosdaq,우리기술,1671,20000622,-
63,A00781K,kospi,코리아써키트2우B,50,19850909,15.18
64,A009150,kospi,삼성전기,143038,19790227,24.60
65,A203450,kosdaq,유니온커뮤니티,712,20161207,32.55
66,A007815,kospi,코리아써우,173,19850909,13.78
67,A011230,kospi,삼화전자,417,19870525,-
68,A143160,kosdaq,아이디스,2979,20110926,26.55
69,A084850,kosdaq,아이티엠반도체,10022,20191107,67.63
70,A347000,kosdaq,센코,1761,20201029,-
71,A248070,kospi,솔루엠,12273,20210202,25.46
72,A068240,kosdaq,다원시스,5115,20100914,35.59
73,A017900,kospi,광전자,1373,19961016,-
74,A031330,kosdaq,에스에이엠티,2870,20000523,6.61
75,A052400,kosdaq,코나아이,6099,20011018,32.05
76,A263810,kosdaq,상신전자,695,20171016,33.42
77,A057540,kosdaq,옴니시스템,1027,20070919,-
78,A016920,kosdaq,카스,570,19900104,-
79,A082210,kosdaq,옵트론텍,2223,20050624,-
80,A007660,kospi,이수페타시스,1325,20031007,-
81,A340930,kosdaq,유일에너테크,2160,20210225,37.57
82,A125210,kosdaq,아모그린텍,2384,20190329,218.94
83,A094840,kosdaq,슈프리마에이치큐,1084,20080711,16.22
84,A038460,kosdaq,바이오스마트,1055,20000622,-
85,A140860,kosdaq,파크시스템스,9312,20151217,93.44
86,A096040,kosdaq,이트론,2959,20080125,-
