,code,class,name,market_cap,reg_day,per
0,A078890,kosdaq,가온미디어,1938,20050712,66.23
1,A066570,kospi,LG전자,261836,20020422,14.70
2,A009140,kospi,경인전자,454,19890620,33.60
3,A066575,kospi,LG전자우,12735,20020422,6.81
4,A084730,kosdaq,팅크웨어,1741,20060519,20.49
5,A134580,kosdaq,디엠티,352,20131126,-
6,A087260,kosdaq,모바일어플라이언스,1552,20170224,57.59
7,A054630,kosdaq,에이디칩스,832,20011113,-
8,A032540,kosdaq,TJ미디어,548,19970416,-
9,A032750,kosdaq,삼진,705,19970714,10.66
10,A223310,kosdaq,경남제약헬스케어,378,20151224,-
11,A058220,kosdaq,아리온,107,20050805,-
12,A028080,kosdaq,휴맥스홀딩스,512,19970416,-
13,A038950,kosdaq,파인디지털,734,20000504,11.98
14,A008700,kospi,아남전자,2406,19840811,45.22
15,A111870,kosdaq,삼본전자,1153,20101105,-
16,A297570,kosdaq,알로이스,1139,20180720,32.85
17,A115160,kosdaq,휴맥스,1380,20091116,-
18,A064240,kosdaq,홈캐스트,1006,20030611,-
