,code,class,name,market_cap,reg_day,per
0,A001065,kospi,JW중외제약우,68,19760614,-
1,A115450,kosdaq,지트리비앤티,3372,20100326,-
2,A043090,kosdaq,큐브앤컴퍼니,745,20011011,-
3,A183490,kosdaq,엔지켐생명과학,10459,20180221,-
4,A102940,kosdaq,코오롱생명과학,2397,20090407,-
5,A238200,kosdaq,비피도,501,20181226,-
6,A084110,kosdaq,휴온스글로벌,4190,20061219,10.30
7,A002620,kospi,제일파마홀딩스,2899,19880120,25.35
8,A293780,kosdaq,압타바이오,6713,20190612,-
9,A900120,kosdaq,씨케이에이치,367,20100331,-
10,A260660,kosdaq,알리코제약,1195,20180212,14.25
11,A200670,kosdaq,휴메딕스,2607,20141226,17.28
12,A106190,kosdaq,하이텍팜,1294,20100728,-
13,A004720,kospi,우리들제약,1318,19900615,13.31
14,A001540,kosdaq,안국약품,1696,20000615,-
15,A222040,kosdaq,코스맥스엔비티,1650,20151216,-
16,A109960,kosdaq,에이프로젠 H&G,1256,20091113,11.34
17,A131030,kosdaq,디에이치피코리아,1330,20101203,9.23
18,A005500,kospi,삼진제약,3440,19880618,12.34
19,A207940,kospi,삼성바이오로직스,498884,20161110,207.03
20,A041960,kosdaq,코미팜,6515,20011030,-
21,A034940,kosdaq,조아제약,1284,19990813,-
22,A003060,kospi,에이프로젠제약,4584,19841019,32.86
23,A000225,kospi,유유제약1우,91,19751118,97.68
24,A204840,kosdaq,지엘팜텍,621,20141120,-
25,A288330,kosdaq,브릿지바이오테라퓨틱스,2678,20191220,-
26,A243070,kosdaq,휴온스,5662,20160603,11.20
27,A086060,kosdaq,진바이오텍,564,20060428,-
28,A053950,kosdaq,경남제약,1216,20011106,-
29,A003850,kospi,보령제약,11023,19881024,39.91
30,A004310,kospi,현대약품,2403,19780628,110.44
31,A235980,kosdaq,메드팩토,18315,20191219,-
32,A003120,kospi,일성신약,2181,19850114,67.71
33,A032980,kosdaq,바이온,926,19970806,-
34,A060590,kosdaq,씨티씨바이오,1416,20020221,-
35,A067290,kosdaq,JW신약,2373,20030211,-
