,code,class,name,market_cap,reg_day,per
0,A101930,kosdaq,인화정공,924,20101022,2.90
1,A100090,kosdaq,삼강엠앤티,7283,20080801,75.93
2,A099410,kosdaq,동방선기,244,20091110,-
3,A108380,kosdaq,대양전기공업,1641,20110708,11.86
4,A042660,kospi,대우조선해양,30578,20010202,35.32
5,A102210,kosdaq,에이치디,811,20090521,-
6,A103230,kosdaq,에스앤더블류,180,20090805,28.79
7,A053660,kosdaq,현진소재,213,20020215,-
8,A077970,kospi,STX엔진,1901,20040510,11.06
9,A065570,kosdaq,삼영이엔씨,764,20030121,-
10,A073010,kosdaq,케이에스피,670,20041217,54.41
11,A010620,kospi,현대미포조선,26761,19831220,-
12,A075580,kospi,세진중공업,3775,20151130,201.21
13,A014940,kosdaq,오리엔탈정공,1857,20011226,6.33
14,A017960,kospi,한국카본,5451,19950708,9.50
15,A092460,kosdaq,한라IMS,875,20070522,26.61
16,A010140,kospi,삼성중공업,47187,19940128,-
17,A064820,kosdaq,케이프,1598,20070529,16.36
18,A028300,kosdaq,에이치엘비,37496,19960727,-
19,A009540,kospi,한국조선해양,92005,19990824,-
20,A071970,kospi,STX중공업,1169,20090515,105.64
21,A082740,kospi,HSD엔진,3723,20110104,49.84
22,A010145,kospi,삼성중공우,389,19940128,-
23,A101000,kosdaq,상상인인더스트리,661,20091106,47.27
24,A054180,kosdaq,메디콕스,654,20011016,-
