,code,class,name,market_cap,reg_day,per
0,A002820,kospi,선창산업,654,19760522,-
1,A004540,kospi,깨끗한나라,3173,19750625,8.41
2,A004545,kospi,깨끗한나라우,150,19750625,40.47
3,A000180,kospi,성창기업지주,1667,19760602,32.74
4,A004150,kospi,한솔홀딩스,1678,19720517,2.46
5,A109070,kospi,컨버즈,576,20090317,-
6,A078130,kosdaq,국일제지,7695,20041022,-
7,A213500,kospi,한솔제지,3403,20150126,5.74
8,A006740,kospi,영풍제지,1505,19960703,17.66
9,A036620,kosdaq,버추얼텍,641,20000111,-
10,A009200,kospi,무림페이퍼,1159,19900609,-
11,A009580,kospi,무림P&P,2888,19890620,-
12,A001020,kospi,페이퍼코리아,846,19760626,322.14
13,A010420,kospi,한솔PNS,419,19890531,14.20
14,A001810,kosdaq,무림SP,784,20000104,44.81
