,code,class,name,market_cap,reg_day,per
0,A001755,kospi,한양증권우,123,19880304,6.75
1,A003530,kospi,한화투자증권,13946,19861125,21.24
2,A003535,kospi,한화투자증권우,850,19861125,57.84
3,A001515,kospi,SK증권우,221,19860920,235.00
4,A001750,kospi,한양증권,1667,19880304,3.78
5,A006805,kospi,미래에셋증권우,769,19750930,5.35
6,A001200,kospi,유진투자증권,4185,19870824,5.55
7,A003470,kospi,유안타증권,7974,19880121,8.09
8,A001510,kospi,SK증권,4442,19860920,39.17
9,A016610,kospi,DB금융투자,2793,19880627,2.90
10,A032190,kosdaq,다우데이타,5151,19991221,5.36
11,A003545,kospi,대신증권우,3523,19751001,7.94
12,A078020,kosdaq,이베스트투자증권,4233,20070221,3.97
13,A016360,kospi,삼성증권,36613,19880328,7.21
14,A001290,kospi,상상인증권,1235,19880923,49.42
15,A006800,kospi,미래에셋증권,63849,19750930,9.84
16,A030210,kospi,KTB투자증권,3209,19961119,4.82
17,A003475,kospi,유안타증권우,517,19880121,8.11
18,A003547,kospi,대신증권2우B,1320,19751001,7.73
19,A001500,kospi,현대차증권,4041,19900609,6.18
20,A030610,kospi,교보증권,5289,20020718,4.00
21,A00680K,kospi,미래에셋증권2우B,6419,19750930,4.49
22,A039490,kospi,키움증권,35142,20090803,4.88
23,A005940,kospi,NH투자증권,32784,19750930,6.06
24,A003465,kospi,유화증권우,472,19870824,38.57
25,A001720,kospi,신영증권,5369,19870824,9.04
26,A001270,kospi,부국증권,2458,19880719,5.23
27,A003460,kospi,유화증권,1494,19870824,37.64
28,A001275,kospi,부국증권우,614,19880719,4.52
29,A001725,kospi,신영증권우,3957,19870824,8.86
30,A005945,kospi,NH투자증권우,1829,19750930,5.04
31,A003540,kospi,대신증권,8124,19751001,9.37
32,A071055,kospi,한국금융지주우,3890,20030721,4.74
33,A008560,kospi,메리츠증권,30182,19920115,5.78
34,A071050,kospi,한국금융지주,50711,20030721,6.49
35,A190650,kosdaq,코리아에셋투자증권,627,20191120,5.81
