,code,class,name,market_cap,reg_day,per
0,A246690,kosdaq,TS인베스트먼트,2116,20161215,26.20
1,A041190,kosdaq,우리기술투자,10164,20000609,35.48
2,A293580,kosdaq,나우IB,1209,20181004,15.84
3,A021080,kosdaq,에이티넘인베스트,3331,19910712,22.75
4,A027830,kosdaq,대성창투,2120,19991130,160.61
5,A289080,kosdaq,SV인베스트먼트,2763,20180706,96.11
6,A016600,kosdaq,큐캐피탈,1234,19930621,52.50
7,A241520,kosdaq,DSC인베스트먼트,1993,20161219,8.14
8,A019590,kosdaq,엠벤처투자,847,19890314,-
9,A019570,kosdaq,리더스 기술투자,913,19890314,3.87
10,A019550,kosdaq,SBI인베스트먼트,3606,19890906,25.87
11,A333430,kosdaq,미래에셋대우스팩4호,136,20191106,-
12,A027360,kosdaq,아주IB투자,8569,20181121,17.28
13,A366330,kosdaq,신한제7호스팩,94,20210204,-
14,A329560,kosdaq,상상인이안제2호스팩,79,20190830,293.57
15,A307070,kosdaq,SK4호스팩,106,20181207,410.00
16,A336570,kosdaq,대신밸런스제8호스팩,118,20191219,299.29
17,A367480,kosdaq,유안타제8호스팩,132,20210405,-
18,A331380,kosdaq,유진스팩5호,85,20191002,302.14
19,A331520,kosdaq,교보9호스팩,82,20191029,-
20,A368770,kosdaq,한국9호스팩,99,20210121,-
21,A336060,kosdaq,유안타제5호스팩,124,20191128,139.00
22,A323280,kosdaq,신영스팩5호,75,20190624,-
23,A340120,kosdaq,하이제5호스팩,105,20191223,174.58
24,A343510,kosdaq,하나금융16호스팩,84,20200723,-
25,A344050,kosdaq,신영스팩6호,90,20200212,-
26,A351320,kosdaq,IBKS제14호스팩,92,20200622,-
27,A367360,kosdaq,DB금융스팩9호,99,20210316,-
28,A367340,kosdaq,DB금융스팩8호,126,20201209,-
29,A363260,kosdaq,하나금융17호스팩,141,20210210,-
30,A359090,kosdaq,엔에이치스팩17호,147,20200923,-
31,A353490,kosdaq,미래에셋대우스팩 5호,106,20200828,-
32,A353190,kosdaq,엔에이치스팩16호,94,20200617,-
33,A353060,kosdaq,에이치엠씨제5호스팩,104,20201216,-
34,A351340,kosdaq,IBKS제13호스팩,109,20200715,-
35,A373200,kosdaq,IBKS제15호스팩,73,20210226,-
36,A333050,kosdaq,신한제6호스팩,104,20191031,693.33
37,A332710,kosdaq,하나금융14호스팩,93,20191101,301.43
38,A313750,kosdaq,유안타제4호스팩,98,20190321,264.38
39,A311270,kosdaq,키움제5호스팩,77,20181226,358.33
40,A323940,kosdaq,케이비제18호스팩,162,20190624,259.38
41,A321260,kosdaq,유진스팩4호,74,20190531,353.33
42,A291230,kosdaq,삼성스팩2호,165,20180913,242.22
43,A328380,kosdaq,미래에셋대우스팩3호,136,20190820,350.00
44,A332290,kosdaq,대신밸런스제7호스팩,110,20191011,-
45,A330990,kosdaq,케이비제19호스팩,90,20190930,522.50
46,A307160,kosdaq,하나머스트제6호스팩,100,20181130,182.08
47,A307870,kosdaq,상상인이안1호스팩,101,20181212,163.46
48,A335870,kosdaq,IBKS제12호스팩,68,20191209,-
49,A353070,kosdaq,에이치엠씨제4호스팩,92,20200729,-
50,A310870,kosdaq,한국제8호스팩,72,20181220,233.89
51,A355150,kosdaq,교보10호스팩,112,20200918,-
52,A310840,kosdaq,엔에이치스팩13호,72,20181224,-
53,A365590,kosdaq,엔에이치스팩18호,96,20201221,-
54,A340440,kosdaq,한화플러스제1호스팩,97,20191227,-
55,A349720,kosdaq,이베스트스팩5호,75,20200520,-
56,A347140,kosdaq,케이프이에스제4호,62,20200324,"1,030.00"
57,A341160,kosdaq,하나금융15호스팩,99,20200130,210.50
58,A340350,kosdaq,SK6호스팩,118,20200311,515.00
59,A323210,kosdaq,이베스트이안스팩1호,67,20190715,189.55
60,A342550,kosdaq,케이비제20호스팩,134,20200130,205.50
61,A372290,kosdaq,하나머스트7호스팩,89,20210305,-
62,A277070,kosdaq,린드먼아시아,963,20180314,18.96
63,A317030,kosdaq,케이비17호스팩,115,20190327,262.50
64,A337450,kosdaq,SK5호스팩,90,20191204,416.00
65,A307930,kosdaq,컴퍼니케이,1881,20190523,19.07
66,A317320,kosdaq,한화에스비아이스팩,118,20190503,903.33
67,A367460,kosdaq,유안타제7호스팩,116,20201228,-
68,A100790,kosdaq,미래에셋벤처투자,4430,20190315,13.81
69,A340360,kosdaq,유안타제6호스팩,222,20191219,"1,080.00"
