,code,class,name,market_cap,reg_day,per
0,A002240,kospi,고려제강,5221,19760525,62.02
1,A008260,kospi,NI스틸,1113,19750628,9.17
2,A005010,kospi,휴스틸,907,19730629,10.49
3,A008970,kospi,동양철관,1593,19770305,22.71
4,A084010,kospi,대한제강,4412,20051031,9.05
5,A001940,kospi,KISCO홀딩스,3344,19891113,9.68
6,A026910,kosdaq,광진실업,310,19960103,-
7,A025550,kosdaq,한국선재,875,19950619,48.90
8,A001770,kospi,신화실업,390,19881123,79.65
9,A021045,kosdaq,대호특수강우,56,19960827,-
10,A058650,kospi,세아홀딩스,3316,20010730,-
11,A104700,kospi,한국철강,5388,20080929,-
12,A000970,kospi,한국주철관,2109,19691212,19.11
13,A007280,kospi,한국특수형강,1129,19891113,24.09
14,A039240,kosdaq,경남스틸,875,20000307,29.41
15,A002220,kospi,한일철강,672,19881007,-
16,A001080,kospi,만호제강,855,19770618,76.01
17,A060380,kosdaq,동양에스텍,520,20020205,9.85
18,A025890,kospi,한국주강,215,19970718,-
19,A001230,kospi,동국제강,14172,19880509,21.77
20,A263770,kosdaq,유에스티,1552,20170406,32.11
21,A002690,kospi,동일제강,510,20150924,170.00
22,A004890,kospi,동일산업,1923,20050630,23.99
23,A133820,kospi,화인베스틸,790,20140722,-
24,A026940,kospi,부국철강,840,20081014,105.00
25,A012160,kospi,영흥,1128,20100125,-
26,A005160,kosdaq,동국산업,1980,19990625,30.17
27,A069730,kospi,DSR제강,840,20030128,15.89
28,A008420,kospi,문배철강,881,19941105,10.23
29,A019440,kospi,세아특수강,1191,20110601,-
30,A009520,kosdaq,포스코엠텍,3560,19971110,37.83
31,A048470,kosdaq,대동스틸,596,20020110,298.00
32,A003030,kospi,세아제강지주,2352,19690513,13.77
33,A140520,kosdaq,대창스틸,645,20141205,-
34,A016380,kospi,KG동부제철,14401,19860203,21.56
35,A071090,kospi,하이스틸,529,20030217,-
36,A004020,kospi,현대제철,65589,19870523,-
37,A306200,kospi,세아제강,2641,20181005,7.99
38,A023440,kosdaq,제일제강,1254,19941007,-
39,A017480,kosdaq,삼현철강,813,20010109,10.53
40,A005490,kospi,POSCO,286409,19880610,17.88
41,A001430,kospi,세아베스틸,6599,19910312,-
42,A023790,kosdaq,동일철강,407,19941107,-
43,A021040,kosdaq,대호특수강,591,19960827,-
44,A053260,kosdaq,금강철강,1745,20020104,62.13
45,A012620,kosdaq,원일특강,495,19940628,34.09
46,A032860,kosdaq,휴먼엔,1300,19970704,-
47,A000590,kospi,CS홀딩스,735,19751222,9.63
48,A120030,kospi,조선선재,1761,20100219,19.15
49,A016385,kospi,KG동부제철우,62,19860203,174.40
50,A002710,kospi,TCC스틸,1071,19841221,-
