,code,class,name,market_cap,reg_day,per
0,A044380,kospi,주연테크,620,20061115,-
1,A051380,kosdaq,피씨디렉트,828,20020215,13.62
2,A093190,kosdaq,빅솔론,1000,20070820,17.87
3,A096690,kosdaq,에이루트,846,20101201,-
4,A039740,kosdaq,한국정보공학,280,20000706,-
5,A129890,kosdaq,앱코,2427,20201202,10.81
6,A049550,kosdaq,잉크테크,1445,20020228,-
7,A332370,kosdaq,아이디피,541,20200824,29.32
8,A094940,kosdaq,푸른기술,857,20070914,88.36
9,A066110,kosdaq,한프,253,20020716,-
10,A004920,kospi,씨아이테크,330,19891130,-
11,A046970,kosdaq,우리로,538,20121127,-
12,A012600,kospi,센트럴인사이트,338,19900710,-
13,A032790,kosdaq,엠젠플러스,895,19970626,-
14,A131180,kosdaq,딜리,522,20110131,-
15,A065690,kosdaq,파커스,422,20020716,-
16,A224110,kosdaq,에이텍티앤,2072,20150825,79.18
17,A089150,kosdaq,케이씨티,1588,20061213,280.61
18,A043360,kosdaq,디지아이,306,20010720,44.74
19,A065650,kosdaq,메디프론,1439,20030121,-
20,A031860,kosdaq,엔에스엔,875,19970107,-
21,A045660,kosdaq,에이텍,3151,20010524,36.13
