,code,class,name,market_cap,reg_day,per
0,A052460,kosdaq,아이크래프트,1449,20050103,125.57
1,A072950,kosdaq,빛샘전자,467,20120321,40.32
2,A019490,kospi,하이트론,635,19981104,-
3,A148250,kosdaq,알엔투테크놀로지,1314,20160622,32.09
4,A095270,kosdaq,웨이브일렉트로,796,20070912,-
5,A317120,kosdaq,라닉스,1252,20190918,-
6,A100590,kosdaq,머큐리,1528,20181214,18.62
7,A214870,kosdaq,뉴지랩,3215,20151013,-
8,A170790,kosdaq,파이오링크,898,20130801,8.41
9,A031310,kosdaq,아이즈비전,841,19970725,6.92
10,A036690,kosdaq,코맥스,911,20000118,37.76
11,A052860,kosdaq,아이앤씨,798,20091006,-
12,A069540,kosdaq,라이트론,1256,20040213,-
13,A115440,kosdaq,우리넷,793,20100127,-
14,A033790,kosdaq,스카이문스테크놀로지,142,20010626,-
15,A189300,kosdaq,인텔리안테크,5444,20161018,947.37
16,A038680,kosdaq,에스넷,1254,20000427,34.51
17,A200230,kosdaq,텔콘RF제약,4375,20141124,-
18,A015710,kosdaq,코콤,1288,19970930,17.71
19,A033230,kosdaq,인성정보,835,19990730,-
20,A056360,kosdaq,코위버,900,20011204,16.07
21,A039010,kosdaq,현대통신,901,20000720,9.87
22,A091440,kosdaq,텔레필드,369,20080201,-
23,A037460,kosdaq,삼지전자,2211,19991216,8.22
24,A073540,kosdaq,에프알텍,536,20070518,-
25,A035460,kosdaq,기산텔레콤,431,19991118,986.67
26,A264450,kosdaq,유비쿼스,2182,20170331,13.56
27,A215790,kosdaq,이노인스트루먼트,951,20150508,15.23
28,A218410,kosdaq,RFHIC,8836,20150630,435.88
29,A178320,kosdaq,서진시스템,8109,20170327,-
30,A327260,kosdaq,메탈라이프,1011,20191224,-
31,A138080,kosdaq,오이솔루션,4882,20140227,39.51
32,A065770,kosdaq,CS,513,20040604,302.78
33,A029480,kosdaq,릭스솔루션,500,19960827,-
34,A078070,kosdaq,유비쿼스홀딩스,3917,20090123,41.00
35,A073490,kosdaq,이노와이어리스,3305,20050204,24.86
36,A088800,kosdaq,에이스테크,8130,20060327,-
37,A089850,kosdaq,유비벨록스,904,20100618,12.69
38,A062970,kosdaq,피피아이,510,20191226,-
39,A192410,kosdaq,감마누,1398,20140814,-
40,A032500,kosdaq,케이엠더블유,24450,20000321,91.78
41,A039560,kosdaq,다산네트웍스,3509,20000622,-
42,A109080,kosdaq,옵티시스,546,20110712,35.76
43,A230240,kosdaq,에치에프알,2950,20151216,-
44,A050890,kosdaq,쏠리드,3919,20050708,-
