,code,class,name,market_cap,reg_day,per
0,A033310,kosdaq,엠투엔,3550,19971110,-
1,A049830,kosdaq,승일,1306,20010118,162.60
2,A008870,kospi,금비,694,19900608,-
3,A002030,kospi,아세아,2520,19740603,6.00
4,A014825,kospi,동원시스템즈우,93,19940329,17.55
5,A002200,kospi,한국수출포장,984,19740628,11.78
6,A023600,kosdaq,삼보판지,2393,19960529,6.60
7,A009460,kospi,한창제지,1372,19871223,12.99
8,A006580,kosdaq,대양제지,875,19931229,26.50
9,A115390,kospi,락앤락,7845,20100128,68.20
10,A004780,kosdaq,대륙제관,984,19941229,8.18
11,A115960,kosdaq,연우,3509,20151102,30.86
12,A014160,kospi,대영포장,3035,19900306,90.32
13,A017650,kosdaq,대림제지,1210,19941107,9.26
14,A004450,kospi,삼화왕관,832,19760528,55.62
15,A005820,kospi,원림,541,19900420,3.53
16,A011280,kospi,태림포장,3618,19881220,121.67
17,A002870,kospi,신풍제지,1367,19760630,4.15
18,A016590,kospi,신대양제지,3341,19951221,7.87
19,A272550,kospi,삼양패키징,3631,20171129,11.24
20,A002310,kospi,아세아제지,4326,19881215,7.97
21,A014820,kospi,동원시스템즈,12297,19940329,24.13
22,A251970,kosdaq,펌텍코리아,2393,20190704,12.24
23,A014970,kosdaq,삼륭물산,1234,19921229,-
24,A008730,kospi,율촌화학,4923,19880830,24.39
25,A027970,kospi,세하,1091,19960703,6.25
26,A037230,kosdaq,한국팩키지,1248,19991221,53.66
