,code,class,name,market_cap,reg_day,per
0,A000120,kospi,CJ대한통운,41861,19560702,34.03
1,A004365,kospi,세방우,262,19770519,5.02
2,A004360,kospi,세방,2481,19770519,9.08
3,A032280,kosdaq,삼일,397,19970315,-
4,A000700,kospi,유수홀딩스,1771,19560303,2.21
5,A097950,kospi,CJ제일제당,61271,20070928,9.72
6,A086280,kospi,현대글로비스,69750,20051226,11.51
7,A097955,kospi,CJ제일제당 우,2476,20070928,4.46
8,A014130,kospi,한익스프레스,725,19890725,-
9,A009180,kospi,한솔로지스틱스,892,19891113,10.27
10,A009070,kospi,KCTC,1842,19780929,14.25
11,A002320,kospi,한진,6226,19740812,72.56
12,A001140,kospi,국보,1106,19891202,-
13,A004140,kospi,동방,2514,19880810,16.77
14,A129260,kospi,인터지스,1312,20111216,25.79
