,code,class,name,market_cap,reg_day,per
0,A078650,kosdaq,코렌,721,20101022,-
1,A066670,kosdaq,디스플레이텍,1004,20021230,26.20
2,A049070,kosdaq,인탑스,5306,20020221,13.14
3,A101330,kosdaq,모베이스,1473,20100204,-
4,A054210,kosdaq,이랜텍,2023,20020509,-
5,A065680,kosdaq,우주일렉트로,2931,20040102,22.76
6,A045970,kosdaq,코아시아,3092,20000803,-
7,A025320,kosdaq,시노펙스,2754,19950420,-
8,A193250,kosdaq,와이제이엠게임즈,1248,20141229,-
9,A190510,kosdaq,나무가,708,20151112,-
10,A290740,kosdaq,액트로,1022,20180828,49.51
11,A208710,kosdaq,바이오로그디바이스,749,20141224,-
12,A081580,kosdaq,성우전자,502,20071012,-
13,A192440,kosdaq,슈피겐코리아,3817,20141105,7.14
14,A093920,kosdaq,서원인텍,1495,20071220,8.92
15,A263600,kosdaq,덕우전자,1335,20170828,13.09
16,A175140,kosdaq,인포마크,319,20150923,-
17,A151910,kosdaq,나노스,11533,20120802,-
18,A060720,kosdaq,KH바텍,5267,20020521,-
19,A174880,kosdaq,장원테크,680,20160715,-
20,A000670,kospi,영풍,10886,19760612,8.21
21,A091580,kosdaq,상신이디피,1787,20070523,19.88
22,A049520,kosdaq,유아이엘,937,20010802,-
23,A060540,kosdaq,에스에이티,693,20061128,18.03
24,A079190,kosdaq,EMW,884,20051129,-
25,A176440,kosdaq,에이치엔티,1646,20161128,-
26,A097780,kosdaq,에스맥,3708,20080123,11.09
27,A106080,kosdaq,하이소닉,542,20100209,-
28,A178780,kosdaq,유테크,602,20150630,-
29,A226350,kosdaq,아이엠텍,93,20160203,-
30,A191410,kosdaq,육일씨엔에쓰,310,20151224,-
31,A058450,kosdaq,일야,217,20020117,-
32,A083470,kosdaq,이엠앤아이,355,20080918,-
33,A196450,kosdaq,코아시아옵틱스,847,20140602,-
34,A070300,kosdaq,엑스큐어,354,20100609,-
35,A192650,kospi,드림텍,6097,20190314,27.21
36,A091120,kosdaq,이엠텍,3019,20070502,324.14
37,A106240,kosdaq,파인테크닉스,2924,20090316,51.98
38,A037950,kosdaq,엘컴텍,1178,20000824,-
39,A126700,kosdaq,하이비젼시스템,2069,20100910,19.76
40,A198080,kosdaq,엔피디,840,20200316,-
41,A122990,kosdaq,와이솔,3650,20100910,112.61
42,A050110,kosdaq,캠시스,1805,20010517,-
43,A148150,kosdaq,세경하이테크,2520,20190730,-
44,A049630,kosdaq,재영솔루텍,699,20030124,-
45,A290550,kosdaq,디케이티,1585,20181221,14.64
46,A123840,kosdaq,한일진공,901,20101005,6.65
47,A285490,kosdaq,노바텍,3826,20181102,17.34
48,A332570,kosdaq,와이팜,3844,20200731,39.06
49,A094170,kosdaq,동운아나텍,1802,20150630,237.23
50,A091700,kosdaq,파트론,5957,20061213,27.23
51,A033560,kosdaq,블루콤,1252,20110126,-
52,A227100,kosdaq,디자인,323,20181115,-
53,A096640,kosdaq,멜파스,679,20091218,-
54,A181340,kosdaq,이즈미디어,1385,20170726,-
55,A061040,kosdaq,알에프텍,2274,20020516,-
56,A096630,kosdaq,에스코넥,1517,20071226,-
57,A052710,kosdaq,아모텍,3249,20030801,-
58,A238090,kosdaq,앤디포스,2209,20161012,25.51
59,A114120,kosdaq,크루셜텍,261,20100721,-
60,A096610,kosdaq,알에프세미,542,20071120,-
61,A076610,kosdaq,해성옵틱스,529,20131106,-
62,A115610,kosdaq,이미지스,162,20100226,-
63,A097520,kosdaq,엠씨넥스,10182,20120725,26.49
64,A082660,kosdaq,코스나인,485,20051005,-
65,A106520,kosdaq,디지탈옵틱,614,20120713,-
66,A211270,kosdaq,AP위성,2327,20160304,-
67,A179900,kosdaq,유티아이,3031,20170927,550.00
