,code,class,name,market_cap,reg_day,per
0,A032350,kospi,롯데관광개발,13820,20060608,-
1,A094850,kosdaq,참좋은여행,1505,20070430,-
2,A084680,kospi,이월드,3566,20050726,-
3,A104620,kosdaq,노랑풍선,1141,20190130,-
4,A034230,kosdaq,파라다이스,15551,20021105,-
5,A006730,kosdaq,서부T&D,4721,19951006,-
6,A080160,kosdaq,모두투어,4045,20050726,-
7,A220630,kosdaq,해마로푸드서비스,3711,20150828,15.25
8,A114090,kospi,GKL,10206,20091119,-
9,A039130,kospi,하나투어,9200,20111101,-
10,A008770,kospi,호텔신라,34028,19910312,-
11,A035250,kospi,강원랜드,54555,20030904,-
12,A008775,kospi,호텔신라우,647,19910312,-
13,A025980,kosdaq,아난티,6380,19960106,-
14,A217620,kosdaq,디딤,767,20150610,-
15,A111710,kosdaq,남화산업,1960,20181129,29.66
16,A039310,kosdaq,세중,488,20000609,96.25
17,A065150,kosdaq,MP그룹,1114,20070718,-
18,A020710,kosdaq,시공테크,1173,19990813,22.41
19,A070960,kospi,용평리조트,2332,20160527,-
20,A031440,kospi,신세계푸드,2769,20100429,-
