,code,class,name,market_cap,reg_day,per
0,A083660,kosdaq,CSA 코스믹,599,20060725,-
1,A019660,kosdaq,글로본,1671,19920604,-
2,A016100,kosdaq,리더스코스메틱,681,20030115,2.97
3,A217480,kosdaq,에스디생명공학,1106,20170302,-
4,A244460,kosdaq,올리패스,1546,20190920,-
5,A018700,kosdaq,바른손,1002,19940318,-
6,A950140,kosdaq,잉글우드랩,1357,20161014,44.06
7,A123330,kosdaq,제닉,380,20110803,-
8,A237880,kosdaq,클리오,3511,20161109,36.36
9,A024720,kospi,한국콜마홀딩스,5341,20020409,4.98
10,A002795,kospi,아모레G우,1424,19730430,204.63
11,A161890,kospi,한국콜마,12951,20121019,8.08
12,A252500,kosdaq,세화피앤씨,828,20161102,19.37
13,A018290,kosdaq,브이티지엠피,2794,19940907,255.62
14,A241710,kosdaq,코스메카코리아,1885,20161028,72.04
15,A092730,kosdaq,네오팜,2918,20070130,16.09
16,A086710,kosdaq,선진뷰티사이언스,1245,20210127,-
17,A227610,kosdaq,아우딘퓨쳐스,418,20170712,-
18,A051900,kospi,LG생활건강,243800,20010425,34.68
19,A078520,kospi,에이블씨엔씨,2030,20110907,-
20,A002790,kospi,아모레G,54505,19730430,612.04
21,A003350,kospi,한국화장품제조,1579,19780206,-
22,A00279K,kospi,아모레G3우(전환),2979,19730430,388.89
23,A138360,kosdaq,에이씨티,1551,20131108,-
24,A159910,kosdaq,스킨앤스킨,685,20121227,-
25,A192820,kospi,코스맥스,12059,20140407,56.42
26,A123690,kospi,한국화장품,1904,20100601,-
27,A007630,kospi,폴루스바이오팜,551,19881024,-
28,A090435,kospi,아모레퍼시픽우,8805,20060629,163.85
29,A069110,kosdaq,코스온,630,20031014,-
30,A263920,kosdaq,블러썸엠앤씨,625,20170928,-
31,A018250,kospi,애경산업,6457,20180322,56.34
32,A265740,kosdaq,엔에프씨,1545,20201202,164.76
33,A101240,kosdaq,씨큐브,817,20111108,22.39
34,A027050,kosdaq,코리아나,1906,19991210,-
35,A214420,kospi,토니모리,1342,20150710,-
36,A090430,kospi,아모레퍼시픽,151115,20060629,507.86
37,A064090,kosdaq,에프앤리퍼블릭,351,20021217,-
38,A052260,kosdaq,현대바이오랜드,3412,20010517,-
39,A051905,kospi,LG생활건강우,14446,20010425,15.28
40,A900300,kosdaq,오가닉티코스메틱,391,20161104,2.98
41,A260930,kosdaq,씨티케이코스메틱스,1053,20171207,-
42,A900310,kosdaq,컬러레이,1075,20170810,5.53
43,A226340,kosdaq,본느,1036,20151105,-
44,A214260,kosdaq,라파스,2344,20191111,-
45,A226320,kospi,잇츠한불,5800,20151228,-
46,A025620,kospi,제이준코스메틱,618,19950708,-
47,A219550,kosdaq,MP한강,746,20150722,-
48,A080530,kosdaq,코디,510,20100105,-
49,A175250,kosdaq,아이큐어,3595,20180712,-
50,A048410,kosdaq,현대바이오,15496,20020808,-
