,code,class,name,market_cap,reg_day,per
0,A002025,kospi,코오롱우,218,19750623,1.86
1,A014190,kosdaq,원익큐브,1982,19960426,64.37
2,A221610,kosdaq,자안,1001,20160127,-
3,A002020,kospi,코오롱,3662,19750623,2.66
4,A104480,kosdaq,티케이케미칼,3722,20110426,-
5,A004250,kospi,NPC,1588,19690908,9.63
6,A066430,kosdaq,와이오엠,402,20021224,16.35
7,A161000,kospi,애경유화,3797,20120917,8.55
8,A011780,kospi,금호석유,76322,19880122,14.39
9,A131100,kosdaq,스카이이앤엠,696,20110614,-
10,A055490,kospi,테이팩스,2595,20171031,18.76
11,A001570,kospi,금양,2164,19761217,-
12,A004430,kospi,송원산업,4632,19770625,16.87
13,A115570,kosdaq,스타플렉스,468,20100127,-
14,A000760,kospi,이화산업,610,19940429,-
15,A002360,kospi,SH에너지화학,1102,19851223,-
16,A196700,kosdaq,웹스,282,20150824,-
17,A352940,kosdaq,인바이오,1074,20201211,-
18,A086520,kosdaq,에코프로,13320,20070720,57.32
19,A298000,kospi,효성화학,9570,20180713,-
20,A093370,kospi,후성,9492,20061222,157.69
21,A010640,kospi,진양폴리,420,19890930,26.06
22,A014440,kospi,영보화학,874,19970827,30.77
23,A281740,kosdaq,레이크머티리얼즈,2642,20171212,134.00
24,A010060,kospi,OCI,27665,19850709,-
25,A006840,kospi,AK홀딩스,3497,19990811,-
26,A017890,kosdaq,한국알콜,2928,19920804,5.74
27,A007690,kospi,국도화학,4213,19890805,14.31
28,A004255,kospi,NPC우,126,19690908,5.32
29,A025000,kospi,KPX케미칼,3194,19941227,5.05
30,A048830,kosdaq,엔피케이,363,20001012,-
31,A011785,kospi,금호석유우,3220,19880122,6.12
32,A120115,kospi,코오롱인더우,761,20100201,4.02
33,A014830,kospi,유니드,6054,20041203,7.87
34,A005070,kospi,코스모신소재,5674,19870928,48.38
35,A036670,kosdaq,KCI,1070,20010103,10.07
36,A001340,kospi,백광산업,2430,19760610,23.94
37,A002810,kospi,삼영무역,2853,19880328,10.12
38,A003240,kospi,태광산업,10945,19751227,10.34
39,A005190,kospi,동성화학,955,19880701,4.33
40,A005690,kospi,파미셀,8784,19880520,168.39
41,A008370,kosdaq,원풍,869,19921218,23.97
42,A009835,kospi,한화솔루션우,646,19740619,31.20
43,A045060,kosdaq,오공,828,20000810,10.75
44,A065560,kosdaq,녹원씨엔아이,996,20030701,-
45,A110020,kosdaq,전진바이오팜,713,20181214,-
46,A251370,kosdaq,와이엠티,3185,20170427,22.49
47,A290380,kosdaq,대유,1351,20180810,26.00
48,A900250,kosdaq,크리스탈신소재,1230,20160128,5.10
49,A025860,kospi,남해화학,4441,19951110,17.74
50,A286750,kosdaq,나노브릭,878,20190819,-
51,A092230,kospi,KPX홀딩스,2624,20061012,1.87
52,A187790,kosdaq,나노,406,20140508,-
53,A004000,kospi,롯데정밀화학,15790,19760415,7.94
54,A005420,kospi,코스모화학,2989,19870723,-
55,A006380,kospi,카프로,1512,19740528,-
56,A001390,kospi,KG케미칼,3772,19890825,8.20
57,A003720,kospi,삼영화학,915,19760630,448.33
58,A007590,kospi,동방아그로,955,19770629,14.22
59,A051910,kospi,LG화학,573210,20010425,123.99
60,A069260,kospi,휴켐스,9034,20021007,18.22
61,A239890,kosdaq,피엔에이치테크,648,20210216,-
62,A002100,kospi,경농,2918,19770630,23.15
63,A120110,kospi,코오롱인더,16808,20100201,9.11
64,A247660,kosdaq,나노씨엠에스,760,20210309,-
65,A036640,kosdaq,HRS,980,20000530,10.64
66,A100250,kospi,진양홀딩스,1666,20080215,6.39
67,A102260,kospi,동성코퍼레이션,2578,20080623,39.07
